ID2,CMD_Adjust
BAFAun,0
BAFAunp,0
BGxh1,0
BGxh2,0
BGxh3,0
BGxw1,0
BGxw2,25
BWBSdk,0
BWBSmk,-50
BWBSmw,-50
BWBSvk,-25
BWBSwk1,0
BWBSwk2,0
BWBSwk3,0
CDFmm,0
CMAun,0
CMAunp,0
CMAwh,0
CWHdm,0
CWHds1,0
CWHds2,-50
CWHmm1,0
CWHmm2,0
CWHms1,0
CWHms2,50
CWHvh1,0
CWHvh2,0
CWHvh3,0
CWHvm1,0
CWHvm2,0
CWHwh1,0
CWHwh2,0
CWHwm,0
CWHws1,0
CWHws2,0
CWHxm1,0
CWHxm2,0
ESSFdc1,0
ESSFdc2,0
ESSFdc3,0
ESSFdcp,0
ESSFdcw,50
ESSFdk1,50
ESSFdk2,50
ESSFdkp,0
ESSFdkw,50
ESSFdv1,0
ESSFdv2,0
ESSFdvp,0
ESSFdvw,50
ESSFmc,0
ESSFmcp,0
ESSFmh,0
ESSFmk,0
ESSFmkp,0
ESSFmm1,100
ESSFmm2,0
ESSFmm3,0
ESSFmmp,0
ESSFmmw,100
ESSFmv1,100
ESSFmv2,100
ESSFmv3,100
ESSFmv4,50
ESSFmvp,0
ESSFmw,0
ESSFmw1,0
ESSFmw2,0
ESSFmwp,0
ESSFmww,0
ESSFun,0
ESSFunp,0
ESSFvc,0
ESSFvcp,0
ESSFvcw,0
ESSFwc2,0
ESSFwc3,0
ESSFwc4,0
ESSFwcp,0
ESSFwcw,0
ESSFwh1,0
ESSFwh2,0
ESSFwh3,0
ESSFwk1,0
ESSFwk2,0
ESSFwm1,0
ESSFwm2,0
ESSFwm3,50
ESSFwm4,0
ESSFwmp,0
ESSFwmw,0
ESSFwv,0
ESSFwvp,0
ESSFxc1,50
ESSFxc2,0
ESSFxc3,0
ESSFxcp,0
ESSFxcw,0
ESSFxv1,100
ESSFxv2,0
ESSFxvp,0
ESSFxvw,0
ICHdk,0
ICHdm,0
ICHdw1,0
ICHdw3,0
ICHdw4,0
ICHmc1,-100
ICHmc1a,-100
ICHmc2,-100
ICHmk1,0
ICHmk2,0
ICHmk3,0
ICHmk4,0
ICHmk5,0
ICHmm,0
ICHmw1,-100
ICHmw2,-100
ICHmw3,-100
ICHmw4,-100
ICHmw5,-100
ICHvc,-100
ICHvk1,-100
ICHvk2,-100
ICHwc,-100
ICHwk1,-100
ICHwk2,-100
ICHwk3,-100
ICHwk4,-100
ICHxw,-50
ICHxwa,-50
IDFdc,0
IDFdk1,0
IDFdk2,0
IDFdk3,0
IDFdk4,0
IDFdk5,0
IDFdm1,0
IDFdm2,0
IDFdw,0
IDFmw1,0
IDFmw2,-100
IDFww,-25
IDFww1,-25
IDFxc,0
IDFxh1,0
IDFxh2,0
IDFxh4,-100
IDFxk,0
IDFxm,0
IDFxw,-100
IDFxx2,-50
IMAun,0
IMAunp,0
MHmm1,0
MHmm2,0
MHmmp,0
MHun,0
MHunp,0
MHwh,0
MHwh1,0
MHwhp,0
MSdc1,0
MSdc2,0
MSdc3,0
MSdk,0
MSdm1,0
MSdm2,0
MSdm3,0
MSdv,0
MSdw,0
MSmw1,0
MSmw2,0
MSxk1,0
MSxk2,0
MSxk3,0
MSxv,0
PPxh1,-50
PPxh2,-50
PPxh3,-50
SBPSdc,0
SBPSmc,0
SBPSmk,0
SBPSxc,0
SBSdh1,0
SBSdh2,0
SBSdk,0
SBSdw1,0
SBSdw2,0
SBSdw3,0
SBSmc1,0
SBSmc2,0
SBSmc3,0
SBSmh,0
SBSmk1,0
SBSmk2,0
SBSmm,0
SBSmw,0
SBSun,0
SBSvk,0
SBSwk1,0
SBSwk2,0
SBSwk3,0
SBSwk3a,0
SWBmk,0
SWBmks,0
SWBun,0
SWBuns,0
SWBvk,0
SWBvks,0
