PlotNumber,SiteUnit1,SiteUnit2,SiteUnit3,SiteUnit4,SiteUnit5,SiteUnit6,SiteUnit7,SiteUnit8,SiteUnit9,SiteUnit10,SiteUnit,,,,,,,,
385278,,,,,,,,,,,ICH xw   /01,,,,,,,,
385478,,,,,,,,,,,ICH xw   /01,,,,,,,,
387678,,,,,,,,,,,ICH xw   /01,,,,,,,,
387778,,,,,,,,,,,ICH xw   /01,,,,,,,,
387878,,,,,,,,,,,ICH xw   /01,,,,,,,,
388078,,,,,,,,,,,ICH xw   /01,,,,,,,,
0109141,,,,,,,,,,,ICH xw   /101,,,,,,,,
0109178,,,,,,,,,,,ICH xw   /101,,,,,,,,
03-T12,,,,,,,,,,,ICH xw   /101,,,,,,,,
08-1306,,,,,,,,,,,ICH xw   /101,,,,,,,,
08-1411,,,,,,,,,,,ICH xw   /101,,,,,,,,
964225,,,,,,,,,,,ICH xw   /101,,,,,,,,
964230,,,,,,,,,,,ICH xw   /101,,,,,,,,
964232,,,,,,,,,,,ICH xw   /101,,,,,,,,
KL-72,,,,,,,,,,,ICH xw   /101,,,,,,,,
N074257,,,,,,,,,,,ICH xw   /101,,,,,,,,
N074274,,,,,,,,,,,ICH xw   /101,,,,,,,,
N074443,,,,,,,,,,,ICH xw   /101,,,,,,,,
N076050,,,,,,,,,,,ICH xw   /101,,,,,,,,
N076053,,,,,,,,,,,ICH xw   /101,,,,,,,,
P783876,,,,,,,,,,,ICH xw   /101,,,,,,,,
Z783861,,,,,,,,,,,ICH xw   /101,,,,,,,,
Z812200,,,,,,,,,,,ICH xw   /101,,,,,,,,
4-A-17,,,,,,,,,,,ICH xw   /101$,,,,,,,,
4-A-5,,,,,,,,,,,ICH xw   /101$,,,,,,,,
4-A-6,,,,,,,,,,,ICH xw   /101$,,,,,,,,
ARS-105,,,,,,,,,,,ICH xw   /101$,,,,,,,,
KN02439,,,,,,,,,,,ICH xw   /101$,,,,,,,,
KN02440,,,,,,,,,,,ICH xw   /101$,,,,,,,,
$812065,,,,,,,,,,,ICH xw   /102,,,,,,,,
08-5057,,,,,,,,,,,ICH xw   /102,,,,,,,,
08-5060,,,,,,,,,,,ICH xw   /102,,,,,,,,
08-5061,,,,,,,,,,,ICH xw   /102,,,,,,,,
11-4093,,,,,,,,,,,ICH xw   /102,,,,,,,,
11-4098,,,,,,,,,,,ICH xw   /102,,,,,,,,
12-9019,,,,,,,,,,,ICH xw   /102,,,,,,,,
N074273,,,,,,,,,,,ICH xw   /102,,,,,,,,
Y812008,,,,,,,,,,,ICH xw   /102,,,,,,,,
0109146,,,,,,,,,,,ICH xw   /103,,,,,,,,
0109162,,,,,,,,,,,ICH xw   /103,,,,,,,,
0109172,,,,,,,,,,,ICH xw   /103,,,,,,,,
0109179,,,,,,,,,,,ICH xw   /103,,,,,,,,
08-1307,,,,,,,,,,,ICH xw   /103,,,,,,,,
08-1402,,,,,,,,,,,ICH xw   /103,,,,,,,,
08-1410,,,,,,,,,,,ICH xw   /103,,,,,,,,
08-1429,,,,,,,,,,,ICH xw   /103,,,,,,,,
08-1430,,,,,,,,,,,ICH xw   /103,,,,,,,,
08-1437,,,,,,,,,,,ICH xw   /103,,,,,,,,
08-5052,,,,,,,,,,,ICH xw   /103,,,,,,,,
08-5055,,,,,,,,,,,ICH xw   /103,,,,,,,,
11-5079,,,,,,,,,,,ICH xw   /103,,,,,,,,
952-A,,,,,,,,,,,ICH xw   /103,,,,,,,,
955-C,,,,,,,,,,,ICH xw   /103,,,,,,,,
KL-71,,,,,,,,,,,ICH xw   /103,,,,,,,,
N073378,,,,,,,,,,,ICH xw   /103,,,,,,,,
N074272,,,,,,,,,,,ICH xw   /103,,,,,,,,
N076049,,,,,,,,,,,ICH xw   /103,,,,,,,,
N08636b,,,,,,,,,,,ICH xw   /103,,,,,,,,
$796944,,,,,,,,,,,ICH xw   /104,,,,,,,,
$812070,,,,,,,,,,,ICH xw   /104,,,,,,,,
08-1314,,,,,,,,,,,ICH xw   /104,,,,,,,,
08-1317,,,,,,,,,,,ICH xw   /104,,,,,,,,
08-1401,,,,,,,,,,,ICH xw   /104,,,,,,,,
08-1436,,,,,,,,,,,ICH xw   /104,,,,,,,,
694-A,,,,,,,,,,,ICH xw   /104,,,,,,,,
694-B,,,,,,,,,,,ICH xw   /104,,,,,,,,
695-A,,,,,,,,,,,ICH xw   /104,,,,,,,,
695-C,,,,,,,,,,,ICH xw   /104,,,,,,,,
870-C,,,,,,,,,,,ICH xw   /104,,,,,,,,
88-B,,,,,,,,,,,ICH xw   /104,,,,,,,,
964224,,,,,,,,,,,ICH xw   /104,,,,,,,,
N074256,,,,,,,,,,,ICH xw   /104,,,,,,,,
N074271,,,,,,,,,,,ICH xw   /104,,,,,,,,
N074276,,,,,,,,,,,ICH xw   /104,,,,,,,,
Z812003,,,,,,,,,,,ICH xw   /104,,,,,,,,
Z812004,,,,,,,,,,,ICH xw   /104,,,,,,,,
0109137,,,,,,,,,,,ICH xw   /110,,,,,,,,
08-1403,,,,,,,,,,,ICH xw   /110,,,,,,,,
A791200,,,,,,,,,,,ICH xw   /110,,,,,,,,
Z793877,,,,,,,,,,,ICH xw   /110,,,,,,,,
0109160,,,,,,,,,,,ICH xw   /111,,,,,,,,
0109199,,,,,,,,,,,ICH xw   /111,,,,,,,,
08-1435,,,,,,,,,,,ICH xw   /111,,,,,,,,
08-5066,,,,,,,,,,,ICH xw   /111,,,,,,,,
08-5075,,,,,,,,,,,ICH xw   /111,,,,,,,,
08-5188,,,,,,,,,,,ICH xw   /111,,,,,,,,
9523307,,,,,,,,,,,ICH xw   /111,,,,,,,,
964233,,,,,,,,,,,ICH xw   /111,,,,,,,,
N074270,,,,,,,,,,,ICH xw   /111,,,,,,,,
Z812060,,,,,,,,,,,ICH xw   /111,,,,,,,,
08-5067,,,,,,,,,,,ICH xw   /112,,,,,,,,
08-2399,,,,,,,,,,,ICH xw   /Fm01,,,,,,,,
0109151,,,,,,,,,,,ICH xw   /Gb02,,,,,,,,
0109150,,,,,,,,,,,ICH xw   /Gb03,,,,,,,,
0111662,,,,,,,,,,,ICH xw   /Gb03,,,,,,,,
0111668,,,,,,,,,,,ICH xw   /Gb03,,,,,,,,
1040-2,,,,,,,,,,,ICH xw   /Gb03,,,,,,,,
9523304,,,,,,,,,,,ICH xw   /Gb03,,,,,,,,
9523305,,,,,,,,,,,ICH xw   /Gb03,,,,,,,,
N08621a,,,,,,,,,,,ICH xw   /Gb03,,,,,,,,
N08622a,,,,,,,,,,,ICH xw   /Gb03,,,,,,,,
N08630a,,,,,,,,,,,ICH xw   /Gb03,,,,,,,,
0109200,,,,,,,,,,,ICH xw   /Gg11,,,,,,,,
0109138,,,,,,,,,,,ICH xw   /Ro09.1,,,,,,,,
N074247,,,,,,,,,,,ICH xw   /Ro09.1,,,,,,,,
08-5133,,,,,,,,,,,ICH xw   /xGb03,,,,,,,,
KL-78,,,,,,,,,,,ICH xw   /xGb03,,,,,,,,
Y791354,,,,,,,,,,,ICH xw   /xGb03,,,,,,,,
08-D105,,,,,,,,,,,ICH xw   /xRounk,,,,,,,,
964283,,,,,,,,,,,ICH xw  a /Gb03,,,,,,,,
03-D7a,,,,,,,,,,,ICH xw  a /Gb06,,,,,,,,
14-7608,,,,,,,,,,,ICH xw  a /Gb06,,,,,,,,
14-7611,,,,,,,,,,,ICH xw  a /Gb06,,,,,,,,
14-7612,,,,,,,,,,,ICH xw  a /Gb06,,,,,,,,
964105,,,,,,,,,,,ICH xw  a /Gb06,,,,,,,,
964282,,,,,,,,,,,ICH xw  a /Gb06,,,,,,,,
03-P6,,,,,,,,,,,ICH xw  a /xGb03,,,,,,,,
Syrnga2,,,,,,,,,,,ICH xw  a /xGb03,,,,,,,,
Syrnga5,,,,,,,,,,,ICH xw  a /xGb03,,,,,,,,
