PlotNumber,SiteUnit1,SiteUnit2,SiteUnit3,SiteUnit4,SiteUnit5,SiteUnit6,SiteUnit7,SiteUnit8,SiteUnit9,SiteUnit10,SiteUnit,,,,
780469,,,,,,,,,,,IDF dk 1 /101,,,,
01OK202,,,,,,,,,,,IDF dk 1 /101,,,,
770005,,,,,,,,,,,IDF dk 1 /101,,,,
770050,,,,,,,,,,,IDF dk 1 /101,,,,
770051,,,,,,,,,,,IDF dk 1 /101,,,,
770124,,,,,,,,,,,IDF dk 1 /101,,,,
770145,,,,,,,,,,,IDF dk 1 /101,,,,
770147,,,,,,,,,,,IDF dk 1 /101,,,,
770148,,,,,,,,,,,IDF dk 1 /101,,,,
770271,,,,,,,,,,,IDF dk 1 /101,,,,
770272,,,,,,,,,,,IDF dk 1 /101,,,,
780304,,,,,,,,,,,IDF dk 1 /101,,,,
780305,,,,,,,,,,,IDF dk 1 /101,,,,
780314,,,,,,,,,,,IDF dk 1 /101,,,,
780319,,,,,,,,,,,IDF dk 1 /101,,,,
780358,,,,,,,,,,,IDF dk 1 /101,,,,
780370,,,,,,,,,,,IDF dk 1 /101,,,,
780372,,,,,,,,,,,IDF dk 1 /101,,,,
780375,,,,,,,,,,,IDF dk 1 /101,,,,
780377,,,,,,,,,,,IDF dk 1 /101,,,,
780399,,,,,,,,,,,IDF dk 1 /101,,,,
780405,,,,,,,,,,,IDF dk 1 /101,,,,
780454,,,,,,,,,,,IDF dk 1 /101,,,,
780455,,,,,,,,,,,IDF dk 1 /101,,,,
780456,,,,,,,,,,,IDF dk 1 /101,,,,
780457,,,,,,,,,,,IDF dk 1 /101,,,,
780471,,,,,,,,,,,IDF dk 1 /101,,,,
780472,,,,,,,,,,,IDF dk 1 /101,,,,
780473,,,,,,,,,,,IDF dk 1 /101,,,,
811013,,,,,,,,,,,IDF dk 1 /101,,,,
821095,,,,,,,,,,,IDF dk 1 /101,,,,
821252,,,,,,,,,,,IDF dk 1 /101,,,,
82DM02,,,,,,,,,,,IDF dk 1 /101,,,,
82DM11,,,,,,,,,,,IDF dk 1 /101,,,,
82DM15,,,,,,,,,,,IDF dk 1 /101,,,,
841512,,,,,,,,,,,IDF dk 1 /101,,,,
851941,,,,,,,,,,,IDF dk 1 /101,,,,
94-592,,,,,,,,,,,IDF dk 1 /101,,,,
94-601,,,,,,,,,,,IDF dk 1 /101,,,,
97014,,,,,,,,,,,IDF dk 1 /101,,,,
97PH503,,,,,,,,,,,IDF dk 1 /101,,,,
98-053,,,,,,,,,,,IDF dk 1 /101,,,,
98-060,,,,,,,,,,,IDF dk 1 /101,,,,
98-118,,,,,,,,,,,IDF dk 1 /101,,,,
98DL006,,,,,,,,,,,IDF dk 1 /101,,,,
99NB011,,,,,,,,,,,IDF dk 1 /101,,,,
99NB019,,,,,,,,,,,IDF dk 1 /101,,,,
99RV29,,,,,,,,,,,IDF dk 1 /101,,,,
99RV37,,,,,,,,,,,IDF dk 1 /101,,,,
99RV39,,,,,,,,,,,IDF dk 1 /101,,,,
99RV40,,,,,,,,,,,IDF dk 1 /101,,,,
99RV41,,,,,,,,,,,IDF dk 1 /101,,,,
99RV43,,,,,,,,,,,IDF dk 1 /101,,,,
99RV45,,,,,,,,,,,IDF dk 1 /101,,,,
K00-556,,,,,,,,,,,IDF dk 1 /101,,,,
K00-558,,,,,,,,,,,IDF dk 1 /101,,,,
K00-818,,,,,,,,,,,IDF dk 1 /101,,,,
K00-823,,,,,,,,,,,IDF dk 1 /101,,,,
K00-827,,,,,,,,,,,IDF dk 1 /101,,,,
K99-130,,,,,,,,,,,IDF dk 1 /101,,,,
K99-293,,,,,,,,,,,IDF dk 1 /101,,,,
K99-347,,,,,,,,,,,IDF dk 1 /101,,,,
K99-379,,,,,,,,,,,IDF dk 1 /101,,,,
K99-384,,,,,,,,,,,IDF dk 1 /101,,,,
K99-388,,,,,,,,,,,IDF dk 1 /101,,,,
K99-494,,,,,,,,,,,IDF dk 1 /101,,,,
K99-603,,,,,,,,,,,IDF dk 1 /101,,,,
K99-802,,,,,,,,,,,IDF dk 1 /101,,,,
LPdk110,,,,,,,,,,,IDF dk 1 /101,,,,
RC7059,,,,,,,,,,,IDF dk 1 /101,,,,
RC7068,,,,,,,,,,,IDF dk 1 /101,,,,
RC7071,,,,,,,,,,,IDF dk 1 /101,,,,
RC7072,,,,,,,,,,,IDF dk 1 /101,,,,
RC7074,,,,,,,,,,,IDF dk 1 /101,,,,
RC7075,,,,,,,,,,,IDF dk 1 /101,,,,
RC7080,,,,,,,,,,,IDF dk 1 /101,,,,
TFC015,,,,,,,,,,,IDF dk 1 /101,,,,
