PlotNumber,SiteUnit1,SiteUnit2,SiteUnit3,SiteUnit4,SiteUnit5,SiteUnit6,SiteUnit7,SiteUnit8,SiteUnit9,SiteUnit10,SiteUnit
0003051,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen-Calarub (central concept),ALLIANCE Pseumen-Pinucon-Pleusch (SBS warm xeric),SUBALL Pseumen-Rosaaci-Spirbet-Pleusch(SBS),?ASSOC Pseumen-Shepcan-Hylospl,,,,SBS dk   /Gb53
0003052,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen-Calarub (central concept),ALLIANCE Pseumen-Pinucon-Pleusch (SBS warm xeric),SUBALL Pseumen-Rosaaci-Spirbet-Pleusch(SBS),?ASSOC Pseumen-Shepcan-Hylospl,,,,SBS dk   /Ro
0003053,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen-Calarub (central concept),ALLIANCE Pseumen-Pinucon-Pleusch (SBS warm xeric),SUBALL Pseumen-Rosaaci-Spirbet-Pleusch(SBS),?ASSOC Pseumen-Shepcan-Hylospl,,,,SBS dk   /Gb53
0003054,,,,,,,,,,,SBS dk   /01-04 $5B At - Snowberry - Pin Cherry
0003055,,,,,,,,,,,SBS dk   /02
0003056,,,,,,,,,,,SBS dk   /01-04 $5B At - Snowberry - Pin Cherry
0003057,,,,,,,,,,,SBS dk   /Gg
0003060,,,,,,,,,,,SBS dk   /Gb53
0003063,,,,,,,,,,,SBS dk   /Ro
0003064,,,,,,,,,,,SBS dk   /Gg
0003065,,,,,,,,,,,SBS dk   /01-04 $5B At - Snowberry - Pin Cherry
0003068,,,,,,,,,,,SBS dk   /Gb53
0003069,,,,,,,,,,,SBS dk   /01-04 $5B At - Snowberry - Pin Cherry
0003070,,,,,,,,,,,SBS dk   /04 $ Aspen - Juniper - Grass%
0003352,,,,,,,,,,,SBS dk   /Ws07
0003452,,,,,,,,,,,SBS dk   /01-06 $5M AtSx - Soopolallie (mature)
0004652,,,,,,,,,,,SBS dk   /03
0005453,,,,,,,,,,,SBS dk   /05
0018453,,,,,,,,,,,SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)
0018652,,,,,,,,,,,SBS dk   /01
0018952,,,,,,,,,,,SBS dk   /01 $6B At - Rose
0112930,,,,,,,,,,,SBS dk   /05-03 $3b Pine - Soopolallie - Kinnikinnick (early seral)
0112931,,,,,,,,,,,SBS dk   /05-03 $3b Pine - Soopolallie - Kinnikinnick (early seral)
0112932,,,,,,,,,,,SBS dk   /01 $4 Pine - Spirea - Twinflower (seral)
0112933,,,,,,,,,,,SBS dk   /05-03 $3b Pine - Soopolallie - Kinnikinnick (early seral)
0112935,,,,,,,,,,,SBS dk   /01 $4 Pine - Spirea - Twinflower (seral)
