PlotNumber,SiteUnit1,SiteUnit2,SiteUnit3,SiteUnit4,SiteUnit5,SiteUnit6,SiteUnit7,SiteUnit8,SiteUnit9,SiteUnit10,SiteUnit
0003072,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen-Calarub (central concept),ALLIANCE Pseumen-Pinucon-Pleusch (SBS warm xeric),SUBALL Pseumen-Rosaaci-Spirbet-Pleusch(SBS),?ASSOC Pseumen-Shepcan-Hylospl,,,,SBS mc 2 /Gb53
0105160,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen-Calarub (central concept),ALLIANCE Pseumen-Pinucon-Pleusch (SBS warm xeric),SUBALL Pseumen-Rosaaci-Spirbet-Pleusch(SBS),?ASSOC Pseumen-Shepcan-Hylospl,,,,SBS mc 2 /09
0105161,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen-Calarub (central concept),ALLIANCE Pseumen-Pinucon-Pleusch (SBS warm xeric),SUBALL Pseumen-Rosaaci-Spirbet-Pleusch(SBS),?ASSOC Pseumen-Shepcan-Hylospl,,,,SBS mc 2 /02
0114634,,,,,,,,,,,SBS mc 2 /01
0114635,,,,,,,,,,,SBS mc 2 /06
0114636,,,,,,,,,,,SBS mc 2 /01
0114637,,,,,,,,,,,SBS mc 2 /02
0114638,,,,,,,,,,,SBS mc 2 /02
0114639,,,,,,,,,,,SBS mc 2 /01
0114640,,,,,,,,,,,SBS mc 2 /06
08-0144,,,,,,,,,,,SBS mc 2 /$Act
08-0149,,,,,,,,,,,SBS mc 2 /$Act
08-3312,,,,,,,,,,,SBS mc 2 /Fm03
102480,,,,,,,,,,,SBS mc 2 /06
102580,,,,,,,,,,,SBS mc 2 /02
102680,,,,,,,,,,,SBS mc 2 /05
102780,,,,,,,,,,,SBS mc 2 /01
102880,,,,,,,,,,,SBS mc 2 /06
102980,,,,,,,,,,,SBS mc 2 /01
103080,,,,,,,,,,,SBS mc 2 /01
103180,,,,,,,,,,,SBS mc 2 /01
103280,,,,,,,,,,,SBS mc 2 /01
103380,,,,,,,,,,,SBS mc 2 /06
103480,,,,,,,,,,,SBS mc 2 /02
103580,,,,,,,,,,,SBS mc 2 /01
1037,,,,,,,,,,,SBS mc 2 /02
103780,,,,,,,,,,,SBS mc 2 /05
103880,,,,,,,,,,,SBS mc 2 /06
103980,,,,,,,,,,,SBS mc 2 /01
104080,,,,,,,,,,,SBS mc 2 /01
104180,,,,,,,,,,,SBS mc 2 /01
104280,,,,,,,,,,,SBS mc 2 /01
104380,,,,,,,,,,,SBS mc 2 /09
104480,,,,,,,,,,,SBS mc 2 /10
104580,,,,,,,,,,,SBS mc 2 /06
104680,,,,,,,,,,,SBS mc 2 /09
107980,,,,,,,,,,,SBS mc 2 /06
108080,,,,,,,,,,,SBS mc 2 /06
108180,,,,,,,,,,,SBS mc 2 /06
108280,,,,,,,,,,,SBS mc 2 /01
108380,,,,,,,,,,,SBS mc 2 /01
108480,,,,,,,,,,,SBS mc 2 /01
108580,,,,,,,,,,,SBS mc 2 /01
115178,,,,,,,,,,,SBS mc 2 /01
115278,,,,,,,,,,,SBS mc 2 /01
115378,,,,,,,,,,,SBS mc 2 /Wb05
115878,,,,,,,,,,,SBS mc 2 /01
