PlotNumber,SiteUnit1,SiteUnit2,SiteUnit3,SiteUnit4,SiteUnit5,SiteUnit6,SiteUnit7,SiteUnit8,SiteUnit9,SiteUnit10,SiteUnit
$812071,,,,,,,,,,,ICH dw 1 /01a
$812072,,,,,,,,,,,ICH dw 1 /01a
$812074,,,,,,,,,,,ICH dw 1 /01a
%780453,,,,,,,,,,,ICH mk 1 /01
%796961,,,,,,,,,,,MS  dk 1 /101
%801752,,,,,,,,,,,ESSFdk 1 /101
%801756,,,,,,,,,,,ESSFdk 1 /101
%801763,,,,,,,,,,,MS  dk 1 /101
%801775,,,,,,,,,,,ESSFdk 1 /101
%801780,,,,,,,,,,,MS  dk 1 /101
?791117,,,,,,,,,,,PP  dh 2 /101
?791118,,,,,,,,,,,IDF dm 2 /101
?791119,,,,,,,,,,,IDF dm 2 /101
?801806,,,,,,,,,,,IDF dm 2 /101
?801809,,,,,,,,,,,IDF dm 2 /101
?801814,,,,,,,,,,,IDF dm 2 /101
0001779,,,,,,,,,,,ESSFmm 1 /01
0002479,,,,,,,,,,,ESSFmm 1 /01
0003279,,,,,,,,,,,ESSFmm 1 /01
0004779,,,,,,,,,,,ESSFmm 1 /01
000677,,,,,,,,,,,ICH wk 3 /01
0007179,,,,,,,,,,,ESSFmm 1 /01
0007279,,,,,,,,,,,ESSFmm 1 /01
0008079,,,,,,,,,,,ESSFmm 1 /01
001479,,,,,,,,,,,SBS dh 1 /01
001579,,,,,,,,,,,SBS dh 1 /01
0018652,,,,,,,,,,,SBS dk   /01
002079,,,,,,,,,,,SBS dh 1 /01
002179,,,,,,,,,,,ICH mm   /01
0029780,,,,,,,,,,,ESSFmm 1 /01
0030080,,,,,,,,,,,ESSFmm 1 /01
0036580,,,,,,,,,,,ESSFmm 1 /01
0037380,,,,,,,,,,,ESSFmm 1 /01
003779,,,,,,,,,,,ICH mm   /01
004179,,,,,,,,,,,SBS dh 1 /01
006479,,,,,,,,,,,SBS dh 1 /01
00CG008,,,,,,,,,,,MS  dm 3 /101.2
00CG035,,,,,,,,,,,MS  dm 3 /101.2
00CG038,,,,,,,,,,,ESSFxc 2 /101
00CG090,,,,,,,,,,,ESSFxc 2 /101
00CG111,,,,,,,,,,,ESSFdc 3 /101
00CG191,,,,,,,,,,,MS  dm 3 /101.1
00DL900,,,,,,,,,,,ESSFwc 2 /01
00DL901,,,,,,,,,,,ICH mw 5 /01
00JG053,,,,,,,,,,,MS  dm 3 /101.1
00JG062,,,,,,,,,,,MS  dm 3 /101.1
00KJ03,,,,,,,,,,,MS  xk 2 /101
00MR01,,,,,,,,,,,IDF xh 2 /101
00NB01,,,,,,,,,,,MS  dm 2 /101
00NCe21,,,,,,,,,,,ESSFmw 1 /101.1
00NCe29,,,,,,,,,,,ESSFmw 1 /101.1
00NCe42,,,,,,,,,,,ESSFmw 1 /101.2
00NCe48,,,,,,,,,,,ESSFmw 1 /101.1
00NCe54,,,,,,,,,,,ESSFmw 1 /101.1
00NCe57,,,,,,,,,,,ESSFmw 1 /101.1
00NCe58,,,,,,,,,,,ESSFmw 1 /101.2
00NCe91,,,,,,,,,,,ESSFmw 1 /101.1
00NCe98,,,,,,,,,,,ESSFmw 1 /101.2
010380,,,,,,,,,,,SBS vk   /01
010579,,,,,,,,,,,ICH wk 3 /01
010680,,,,,,,,,,,ICH vk 2 /01
010779,,,,,,,,,,,ICH wk 3 /01
010880,,,,,,,,,,,ICH vk 2 /01
0109105,,,,,,,,,,,IDF xh 4 /01
0109108,,,,,,,,,,,IDF xh 4 /01
0109113,,,,,,,,,,,IDF xh 4 /01
0109115,,,,,,,,,,,IDF xh 4 /01
0109121,,,,,,,,,,,IDF xh 4 /01
0109122,,,,,,,,,,,IDF xh 4 /01
0109126,,,,,,,,,,,IDF xh 4 /01
0109127,,,,,,,,,,,IDF xh 4 /01
0109133,,,,,,,,,,,IDF xh 4 /01
0109141,,,,,,,,,,,ICH dw 2 /01
0109152,,,,,,,,,,,ICH dw 2 /01
0109155,,,,,,,,,,,ICH dw 2 /01
0109156,,,,,,,,,,,ICH dw 2 /01
0109178,,,,,,,,,,,ICH dw 2 /01
0109182,,,,,,,,,,,IDF dm 2 /101
0109183,,,,,,,,,,,IDF xk   /101
0109188,,,,,,,,,,,ICH dw 2 /01
0109195,,,,,,,,,,,IDF xh 4 /01
0109201,,,,,,,,,,,IDF xk   /101
0109205,,,,,,,,,,,IDF dk 5 /101
0109206,,,,,,,,,,,IDF dk 5 /101
0109207,,,,,,,,,,,IDF dk 5 /101
0109208,,,,,,,,,,,IDF dk 5 /101
0109209,,,,,,,,,,,IDF dk 5 /101
0112921,,,,,,,,,,,ESSFdkw /101
0114634,,,,,,,,,,,SBS mc 2 /01
0114636,,,,,,,,,,,SBS mc 2 /01
0114639,,,,,,,,,,,SBS mc 2 /01
011480,,,,,,,,,,,ICH vk 2 /01
0116409,,,,,,,,,,,SWB mk 1 /01
0116457,,,,,,,,,,,BWBSmk   /101
0116462,,,,,,,,,,,BWBSmk   /101
0116480,,,,,,,,,,,BWBSmk   /101
0116481,,,,,,,,,,,BWBSmk   /101
0116601,,,,,,,,,,,ICH mc 2 /01
0116627,,,,,,,,,,,BWBSmk   /101
0116638,,,,,,,,,,,SWB mk 1 /01
0116639,,,,,,,,,,,BWBSmk   /101
0116671,,,,,,,,,,,BWBSmk   /101
012280,,,,,,,,,,,ICH vk 2 /01
012579,,,,,,,,,,,ICH wk 3 /01
012580,,,,,,,,,,,SBS vk   /01
012680,,,,,,,,,,,ICH vk 2 /01
012780,,,,,,,,,,,SBS vk   /01
013080,,,,,,,,,,,ICH vk 2 /01
013280,,,,,,,,,,,ICH vk 2 /01
013380,,,,,,,,,,,ICH vk 2 /01
013480,,,,,,,,,,,ICH vk 2 /01
013580,,,,,,,,,,,ICH vk 2 /01
013780,,,,,,,,,,,ICH vk 2 /01
013980,,,,,,,,,,,ICH vk 2 /01
014080,,,,,,,,,,,ICH vk 2 /01
014280,,,,,,,,,,,ICH vk 2 /01
014380,,,,,,,,,,,ICH vk 2 /01
0146679,,,,,,,,,,,ESSFmm 1 /01
0148179,,,,,,,,,,,ESSFmm 1 /01
0148279,,,,,,,,,,,ESSFmm 1 /01
0149379,,,,,,,,,,,ESSFmm 1 /01
0149479,,,,,,,,,,,ESSFmm 1 /01
017579,,,,,,,,,,,ICH vk 2 /01
019477,,,,,,,,,,,ICH wk 3 /01
019977,,,,,,,,,,,ICH wk 3 /01
01KJ03,,,,,,,,,,,ICH dw 3 /101
01KJ11,,,,,,,,,,,IDF dc /101.1
01KJ12,,,,,,,,,,,ESSFmw 2 /101.1
01MR03,,,,,,,,,,,IDF ww   /101
01NB01,,,,,,,,,,,MS  dm 2 /101
01OK007,,,,,,,,,,,ESSFxc 2 /101
01OK008,,,,,,,,,,,ESSFdc 1 /101
01OK056,,,,,,,,,,,IDF dk 2 /101
01OK064,,,,,,,,,,,MS  dm 2 /101
01OK065,,,,,,,,,,,ESSFxc 2 /101
01OK066,,,,,,,,,,,ESSFdc 2 /101
01OK069,,,,,,,,,,,ESSFxc 2 /101
01OK073,,,,,,,,,,,ESSFdc 1 /101
01OK074,,,,,,,,,,,MS  dm 1 /101
01OK114,,,,,,,,,,,MS  xk 1 /101a
01OK125,,,,,,,,,,,MS  xk 1 /101a
01OK148,,,,,,,,,,,IDF dk 2 /101
01OK162,,,,,,,,,,,MS  dm 2 /101
01OK165,,,,,,,,,,,MS  dm 2 /101
01OK168,,,,,,,,,,,IDF dk 2 /101
01OK173,,,,,,,,,,,IDF dk 2 /101
01OK174,,,,,,,,,,,IDF dk 2 /101
01OK176,,,,,,,,,,,IDF dk 2 /101
01OK191,,,,,,,,,,,IDF dk 2 /101
01OK196,,,,,,,,,,,IDF dk 2 /101
01OK197,,,,,,,,,,,IDF dk 2 /101
01OK198,,,,,,,,,,,IDF dk 2 /101
01OK202,,,,,,,,,,,IDF dk 1 /101
01OK206,,,,,,,,,,,IDF dk 2 /101
01VL02,,,,,,,,,,,IDF dk 2 /101
01VL03,,,,,,,,,,,IDF xh 1 /101
020680,,,,,,,,,,,CWH vh 2 /01
020880,,,,,,,,,,,CWH vm 1 /01
021002,,,,,,,,,,,BWBSmk   /101
021003,,,,,,,,,,,BWBSmk   /101
021076,,,,,,,,,,,CWH wh 2 /101
02-1365,,,,,,,,,,,BWBSwk 3 /101
02-1367,,,,,,,,,,,BWBSwk 3 /101
02-1381,,,,,,,,,,,BWBSwk 3 /101
02-1383,,,,,,,,,,,BWBSwk 3 /101
