"","PlotNumber","Var.2","F","M","TD0","TD1","TD2","TD3","TD4","VW","W","X","NA","BGC_noSpace","BGC_LABEL","BGC_Zone","rSMR","aSMRC","aSMRE","aSMR_Veg","11SiteSeries"
"1","$796944",0,0,0,0,0,5,28.5,3.5,0,0,61,0,"ICHxw","ICH xw","ICH ","3",3,3,"3MD","ICH xw   /104"
"2","$812065",0,0.5,0,5,31.5,13.5,86,10.5,0,0,3.5,0,"ICHxw","ICH xw","ICH ","1",1.5,2,"3MD","ICH xw   /102"
"3","$812070",0,0.5,0,0,1,3.5,64,2.5,0,0,126,0,"ICHxw","ICH xw","ICH ","3",3,3,"3MD","ICH xw   /104"
"4","0109119",0,0,0,1.2,7.2,24.4,35.4,0,0,0,10.6,0,"ICHxwa","ICH xw  a","ICH ","2",NA,NA,"3MD","ICH xw  a/103"
"5","0109120",0,0,0,3.2,7.7,18.9,50.1,0,0,0,29.6,0,"ICHxwa","ICH xw  a","ICH ","2",NA,NA,"3MD","ICH xw  a/103"
"6","0109137",0,0,9.6,0,0,0,1.6,27.5,0,0,80.2,0,"ICHxw","ICH xw","ICH ","5",4.5,6,"4SD","ICH xw   /110"
"7","0109138",0,0,0,0,5.3,12.8,39.1,3,0,0,8.8,0,NA,NA,NA,NA,NA,NA,"3MD","ICH xw   /Ro09.1"
"8","0109141",0,0,0.1,0,0,0,7.8,29.2,0,0,99.7,0,NA,NA,NA,NA,NA,NA,"4SD","ICH xw   /101"
"9","0109146",0,0,0,0,0.3,16.6,13.5,9.5,0,0,29.9,0,"ICHxw","ICH xw","ICH ","2",2.5,2,"3MD","ICH xw   /103"
"10","0109150",0,0,0,2,7.9,40.7,27,4.1,0,0,4.6,0,NA,NA,NA,NA,NA,NA,"2VD","ICH xw   /Gb03"
"11","0109151",0,0,0,11.1,17.6,23.7,24.7,0.1,0,0,2,1,NA,NA,NA,NA,NA,NA,"2VD","ICH xw   /Gb02"
"12","0109160",0,0,11.7,0,0,0,1.2,0.2,0,0,105.2,0,NA,NA,NA,NA,NA,NA,"6M","ICH xw   /111"
"13","0109162",0,0,0,1,9,45.8,22.2,3.5,0,0,25.8,0.6,"ICHxw","ICH xw","ICH ","2",2.5,2,"2VD","ICH xw   /103"
"14","0109172",0,0,0,0,0.4,13.2,27.3,7.8,0,0,40.2,0,NA,NA,NA,NA,NA,NA,"3MD","ICH xw   /103"
"15","0109178",0,0,0,0,0,0.1,4.5,18.9,0,0,84.5,0,NA,NA,NA,NA,NA,NA,"4SD","ICH xw   /101"
"16","0109179",0,0,0,0,1.6,16.1,37.3,1.1,0,0,37.9,0,"ICHxwa","ICH xw  a","ICH ","3",NA,NA,"3MD","ICH xw   /103"
"17","0109199",0,0,30.5,0,0,0,2.1,0,0,3.1,104.5,0,NA,NA,NA,NA,NA,NA,"6M","ICH xw   /111"
"18","0109200",0,0,0,2.7,14.8,17.8,9.8,0,0,0,4.9,0.2,NA,NA,NA,NA,NA,NA,"2VD","ICH xw   /Gg11"
"19","0111662",0,0,0,2.152,25.453,52.56,13.31,3,0,0,0.3,11.055,"ICHxw","ICH xw","ICH ","2",2.5,2,"2VD","ICH xw   /Gb03"
"20","0111668",0,0,0,6.02,24.078,30.71,22.28,0.3,0,0,4.82,0.2,"ICHxw","ICH xw","ICH ","2",2.5,2,"2VD","ICH xw   /Gb03"
"21","03-P10",0,0,0,37,9.42,12.07,2.7,0,0,0,3.53,0.01,"ICHxwa","ICH xw  a","ICH ","2",NA,NA,"1ED","ICH xw  a /xGb06"
"22","03-P6",0,0,0,20.53,13.535,27.513,8.56,0.003,0,0,1.3,2.7,"ICHxwa","ICH xw  a","ICH ","2",NA,NA,"2VD","ICH xw  a /xGb03"
"23","03-T1",0,0,0,3.02,1.462,20.833,20.012,0.4,0,0,0.23,2.25,"ICHxwa","ICH xw  a","ICH ","1",NA,NA,"2VD","ICH xw  a /xGb06"
"24","03-T12",0,0,0,0,0.02,0.7,7.63,1.51,0,0,110.223,0,"ICHxw","ICH xw","ICH ","4",3.5,4,"4SD","ICH xw   /101"
"25","08-1306",0,0,0.1,0,0,0.1,10.2,31.6,0,0,67.71,0,"ICHxw","ICH xw","ICH ","4",3.5,4,"4SD","ICH xw   /101"
"26","08-1307",0,0,0,0,6.1,8.501,39.7,2.2,0,0,19.6,0.3,"ICHxw","ICH xw","ICH ","1",1.5,2,"3MD","ICH xw   /103"
"27","08-1314",0,0,0.1,0,0.1,5.4,11.4,5.31,0,0,48.62,0,"ICHdw1","ICH dw 1","ICH ","2",2.5,2,"3MD","ICH xw   /104"
"28","08-1317",0,3,0,0,0.5,5.6,16.5,1.1,0,0,59.5,0,"ICHxw","ICH xw","ICH ","2",2.5,2,"3MD","ICH xw   /104"
"29","08-1401",0,0,0,0,2.5,3.6,46.2,2.6,0,0,71.1,0,"ICHdw1","ICH dw 1","ICH ","3",3,3,"3MD","ICH xw   /104"
"30","08-1402",0,0,0,0,2.5,7.1,42.3,4.6,0,0,38.7,0,"ICHdw1","ICH dw 1","ICH ","2",2.5,2,"3MD","ICH xw   /103"
"31","08-1403",0,0,8,0,0,0,2.1,5.1,0,0,134.7,0,"ICHxw","ICH xw","ICH ","5",4.5,6,"4SD","ICH xw   /110"
