"","SiteSeries","1ED","2VD","3MD","4SD","5F","6M"
"1","ICH xw - SIBEC",0,0,0,0,1,0
"2","ICH xw   /01",0,0,4,2,0,0
"3","ICH xw   /101",1,0,5,10,1,0
"4","ICH xw   /101$",0,0,1,3,2,0
"5","ICH xw   /102",0,6,3,0,0,0
"6","ICH xw   /103",0,3,16,0,0,0
"7","ICH xw   /104",0,2,15,1,0,0
"8","ICH xw   /110",0,0,0,4,0,0
"9","ICH xw   /111",0,0,0,0,1,9
"10","ICH xw   /112",0,0,0,0,0,1
"11","ICH xw   /Fm01",0,0,1,0,0,0
"12","ICH xw   /Gb02",0,1,0,0,0,0
"13","ICH xw   /Gb03",0,5,1,0,0,0
"14","ICH xw   /Gg11",0,1,0,0,0,0
"15","ICH xw   /Ro09.1",0,0,1,1,0,0
"16","ICH xw   /xGb03",0,2,1,0,0,0
"17","ICH xw   /xRounk",0,0,1,0,0,0
"18","ICH xw  a /Gb03",0,1,0,0,0,0
"19","ICH xw  a /Gb06",0,1,4,0,0,0
"20","ICH xw  a /xGb03",0,1,0,0,0,0
"21","ICH xw  a /xGb06",1,1,0,0,0,0
"22","ICH xw  a /xRt04",1,0,0,0,0,0
"23","ICH xw  a /xRt06",0,0,0,1,0,0
"24","ICH xw  a/101",0,0,3,1,0,0
"25","ICH xw  a/102",0,2,1,0,0,0
"26","ICH xw  a/103",0,1,4,0,0,0
"27","ICH xw  a/104",0,0,4,0,0,0
"28","ICH xw /x111",0,0,0,0,1,0
