"PlotNumber","Unit","MoistureRegime","NutrientRegime"
"$796944","ICHdw1","3","B"
"$801900","MSdk1","5","D"
"$812062","ICHmw4","5","B"
"$812063","ICHmw4","6","D"
"$812064","ICHmw4","4","D"
"$812065","ICHdw1","1","B"
"$812066","ICHmw4","2","B"
"$812068","ESSFwc5","5","D"
"$812069","ICHdw1","4","C"
"$812070","ICHdw1","3","C"
"$812071","ICHdw1","2","B"
"$812072","ICHdw1","3","B"
"$812073","ICHdm","4","D"
"$812074","ICHdw1","2","B"
"$812076","ICHdm","5","D"
"$812077","ESSFdm","3","B"
"$812078","ESSFdm","2","B"
"$812079","ESSFdm","2","B"
"$812081","ICHdw1","4","C"
"%780453","ICHmk1","4","B"
"%796961","MSdk1","4","D"
"%801752","ESSFdk1","4","D"
"%801753","ESSFdk1","7","D"
"%801754","ESSFdk1","6","D"
"%801755","ESSFdk1","3","C"
"%801756","ESSFdk1","4","C"
"%801758","ESSFdkw","2","B"
"%801759","ESSFdk1","5","C"
"%801760","ESSFdk1","5","B"
"%801761","ESSFdk1","2","D"
"%801762","MSdk1","2","C"
"%801763","MSdk1","4","D"
"%801764","MSdk1","5","C"
"%801765","MSdk1","6","E"
"%801766","MSdk1","5","D"
"%801767","MSdk1","2","D"
"%801768","ESSFdk","1","D"
"%801769","MSdk1","2","B"
"%801770","MSdk1","3","C"
"%801771","MSdk1","4","C"
"%801772","MSdk1","2","B"
"%801773","MSdk1","2","D"
"%801774","ESSFdk","3","B"
"%801775","ESSFdk1","4","D"
"%801776","ESSFdk1","5","D"
"%801777","MSdk1","5","C"
"%801778","MSdk1","5","D"
"%801779","MSdk1","3","D"
"%801780","MSdk1","4","D"
"%801781","MSdk","7","C"
"%801783","MSdk1","2","C"
"%801784","MSdk1","5","D"
"%801785","MSdk1","1","C"
"%801786","MSdk1","5","E"
"%801811","MSdk1","6","D"
"%801812","MSdk1","5","C"
"%801813","MSdk1","4","D"
"?780451","IDFdm2","2","D"
"?780452","ICHmk1","3","C"
"?780456","ICHmk4","5","E"
"?780457","ICHmk4","3","B"
"?780458","ICHmk4","5","D"
"?791101","PPdh2","3","E"
"?791102","PPdh2","4","D"
"?791103","PPdh2","3","D"
"?791104","PPdh2","2","E"
"?791105","PPdh2","3","E"
"?791106","PPdh2","3","D"
"?791107","PPdh2","3","C+"
"?791108","PPdh2","3","D"
"?791109","PPdh2","2","D"
"?791110","PPdh2","4","D"
"?791111","PPdh2","3","D"
"?791112","PPdh2","4","C"
"?791113","PPdh2","3","C"
"?791114","PPdh2","2","C+"
"?791115","PPdh2","4","D"
"?791116","PPdh2","4","D"
"?791117","PPdh2","4","D"
"?791118","IDFdm2","3","D"
"?791119","IDFdm2","2","E"
"?791120","PPdh2","2","B+"
"?791121","PPdh2","2","C"
"?791122","PPdh2","3","E"
"?791123","IDFdm2","4","C"
"?791124","IDFdm2","5","E"
"?791125","PPdh2","2","D"
"?791126","PPdh2","3","D"
"?791127","PPdh2","4","C+"
"?791129","IDF","3","E"
"?791164","IDFdm2","2","E"
"?796924","ICHmk4","5","D"
"?796927","MSdk1","3","B"
"?796931","MSdk1","5","C"
"?796932","MSdk1","4","D"
"?796933","MSdk1","4","C"
"?796934","ICHmk4","4","B"
"?796935","ICHmk4","6","D"
"?796940","IDFdm2","2","B"
"?796941","IDFdm2","5","E"
"?796942","MSdk1","6","E"
"?796943","MSdk1","5","D"
"?801805","IDFdm2","3","D"
"?801806","IDFdm2","4","D"
"?801807","MSdk1","0","B"
"?801808","IDFdm2","2","E"
"?801809","IDFdm2","3","D"
"?801814","IDFdm2","4","D"
"?801823","IDFdm2","5","E"
"?801824","IDFdm2","2","D"
"?801825","IDFdm2","2","D"
"?801826","IDFdm2","1","D"
"?801827","IDFdm2","5","E"
"?801828","IDFdm2","0","C"
"?801829","IDFdm2","2","D"
"?801830","IDFdm2","5","E"
"?801831","ESSFdk1","2","B"
"?801833","IDFdm2","3","C"
"?801908","MSdk1","3","C"
"?812054","ICHdm","3","C"
"?812056","ICHdm","2","B"
"?812067","ICHmk4","2","B"
"0000453","SBPSmc","4","C"
"0000552","SBPSmc","2","B"
"0000651","BWBSdk2","3","B"
"0000652","BWBSdk2","5","D"
"0000653","BWBSdk2","2","B"
"0000654","BWBSdk2","0","B"
"0000655","BWBSdk2","3","C"
"0000656","BWBSmw2","3","B"
"0000657","BWBSmw2","4","B"
"0000658","BWBSmw2","1","D"
"0000659","BWBSmw2","3","D"
"0000660","BWBSmw2","5","C"
"0000661","BWBSwk2","4","B"
"0000662","BWBSwk2","5","C"
"0000663","BWBSwk2","4","C"
"0000664","BWBSwk2","4","D"
"0000665","BWBSWK2","4","B"
"0000666","BWBSWK2","3","C"
"0000667","BWBSWK2","3","C"
"0000668","BWBSWK2","2","C"
"0000669","BWBSWK2","3","C"
"0000670","BWBSWK2","5","B"
"0000672","BWBSwk2","5","D"
"0000673","BWBSwk2","5","B"
"0000675","BWBSwk2","6","D"
"0000676","BWBSwk2","6","D"
"0000677","BWBSwk2","2","C"
"0007179","ESSFmm1","3","B"
"0007279","ESSFmm1","3","B"
"000777","ICHwk3","7","B"
"000779","SBSdh1","4","C"
"0007879","ESSFmmp","3",
"0008079","ESSFmm1","4-5","D"
"0008179","ESSFmm","7","C"
"00kfr67","MSxk1","3","C"
"00kfr68","MSxk1","4","C"
"00kfr69","MSxk1","4","C"
"00kfr70","MSxk1","4","C"
"00kfr71","MSxk2","4","C"
"00kfr72","MSdm2","4","C"
"00kfr73","MSdm2","5","C"
"00kfr74","MSdm2","5","C"
"00kfr75","MSdm2","5","C"
"00kfr76","MSxk1","4","C"
"00kfr77","MSxk","4","C"
"00kfr78","MSxk1","4","C"
"00kfr79","MSxk2","4","C"
"00kfr80","MSxk1","4","B"
"00kfr81","MSxk1","4","C"
"00kfr82","MSdm2","4","C"
"00kfr83","MSxk2","4","C"
"00kfr84","ESSFdc2","4","C"
"00kfr85","ESSFdc2","4","C"
"00kfr86","MSxk2","4","C"
"00kfr87","MSdm2","4","C"
"00kfr88","MSdm2","4","C"
"00kfr89","MSdm2","4","C"
"00kfr90","MSdm2","4","C"
"00kfr91","IDFxh2","4","C"
"00kfr92","IDFxh2","4","C"
"00kfr93","IDFxh2","4","C"
"00KJ01","IDFxh2","3","B"
"00KJ02","ESSFdc3","5","D"
"00KJ03","MSdm2","3",
"00KJ05","MSdm2","4","B"
"0000678","BWBSwk2","5","D"
"0000679","BWBSwk2","5","D"
"0000680","BWBSwk2","4","C"
"0000681","BWBSwk2","0","B"
"0000682","BWBSwk2","5","D"
"0000683","BWBSmw1","1","C"
"0000684","BWBSwk2","4","C"
"0000685","BWBSmw1","2","B"
"0000686","BWBSwk1","2","B"
"0000687","BWBSwk1","5","D"
"0000688","BWBSwk1","5","D"
"0000691","BWBSwk2","4","C"
"0000695","BWBSwk1","5","B"
"0000696","BWBSwk1","4","B"
"0000700","BWBSWK2","3","C"
"0001053","SBPSmc","4","D"
"0001453","SBPSmc","3","B"
"0001653","SBPSmc","3","B"
"0001779","ESSFmm","4","C"
"0001853","SBPSmc","4","C"
"0002479","ESSFmm","4","B"
"0002779","ESSFmm","5","D"
"0002801","CWHvh2","3","D"
"0002802","CWHvh2","4+","D"
"0002803","CWHvh2","3","C"
"0002804","CWHvh2","3","C"
"0002805","CWHvh2","4","D"
"0002806","CWHvh2","3","C"
"0002807","CWHvh2","3","C+"
"0002808","CWHvh2","4","D"
"0002809","CWHvh2","5-","D+"
"0002810","CWHvh2","4","B"
"0002811","CWHvh2","4","B"
"0002812","CWHvh2","3+","D"
"0002813","CWHvh2","5","D"
"0002814","CWHvh2","3","C"
"0002815","CWHvh2","4-","D"
"0002816","CWHvh2","3","C"
"0002817","CWHvh2","5","D"
"0002818","CWHvh2","3+","D"
"0002819","CWHvh2","2+","D"
"0002820","CWHvh2","3-","C-"
"0002821","CWHvh2","3","C+"
"0002822","CWHvh2","3","C"
"0002823","CWHvh2","6","D"
"0002824","CWHvh2","2+","D+"
"0002825","CWHvh2","3","C"
"0002826","CWHvh2","3+","D"
"0002827","CWHvh2","3","D"
"0002828","CWHvh2","4","D"
"0002829","CWHvh2","4","D"
"0002830","CWHvh2","6","D"
"0002831","CWHvh2","3-","C"
"0002832","CWHvh2","3","C"
"0002833","CWHvh2","7","C"
"0002834","CWHvh2","4+","C"
"0002835","CWHvh2","3","C"
"0002836","CWHvh2","3","D"
"0002837","CWHvh2","3-","C"
"0002838","CWHvh2","6","D"
"0002839","CWHvh2","3","C"
"0002840","CWHvh2","5","C-"
"0002841","CWHvh2","3","C"
"0002842","CWHvh2","6","D"
"0002843","CWHvh2","4","C"
"0002845","CWHvh2","3","C"
"0002846","CWHvh2","3-","B"
"0002847","CWHvh2","3","D"
"0002848","CWHvh2","3","C+"
"0002849","CWHvh2","5","B"
"0002850","CWHvm1","4","C"
"0002851","CWHvm1","7","C"
"0002852","CWHvm1","9","C"
"0002853","CWHvm1","5","D"
"0002854","CWHvm1","4","C"
"0002855","CWHvm1","4","D"
"0002856","CWHvm1","3+","C"
"0002857","CWHvm1","7","C"
"0002858","CWHvm1","4","C"
"0002859","CWHvm1","7","C"
"0002860","CWHvm1","4","C"
"0002861","CWHvm1","3","B+"
"0002862","CWHvm1","7","D"
"0002863","CWHvm1","4","D"
"0002864","CWHvm1","4","D"
"0002865","CWHvm1","4","C"
"0002866","CWHvm1","6","D"
"0002867","CWHvm1","5","B"
"0002868","CWHvm1","6","C"
"0002869","CWHvm1","3","C"
"0002870","CWHvm1","4+","D"
"0002871","CWHvm1","3","C"
"0002872","CWHvm1","3","E"
"0002873","CWHvm1","4","E"
"0002874","CWHvm1","3","C"
"0002875","CWHvm1","5+","D"
"0002876","CWHvm1","4","D"
"0002877","CWHvm1","3","B"
"0002878","CWHvm1","5+","E"
"0002879","CWHvm1","4","C"
"0002880","CWHws1","4","C"
"0002881","CWHws1","4","C"
"0002882","CWHws1","5","D"
"0002883","CWHws1","5","D"
"0003001","CWHvh2","3","C"
"0003002","CWHvh2","5","D"
"0003003","CWHvh2","4","C"
"0003004","CWHvm1","6","D"
"0003005","CWHvm1","4","C"
"0003006","CWHvm1","4","C"
"0003007","CWHvm1","4","C"
"0003008","CWHvm1","6","D"
"0003009","CWHvm1","5","D"
"0003010","CWHvm1","3","C"
"0003011","CWHvm1","4","C"
"0003012","CWHvm1","4","D"
"0003013","CWHvm1","4","C"
"0003014","CWHvm1","4","D"
"0003015","CWHvm1","6","E"
"0003016","CWHvm1","4","D"
"0003017","CWHvm1","4","E"
"0003018","CWHvm1","4","C"
"0003019","CWHvm1","4","E"
"0003020","CWHvm1","4","C"
"0003021","CWHvm1","6","D"
"0003022","CWHvm1","4","C"
"0003023","CWHvm1","4","C"
"0003024","CWHvm1","4","D"
"0003025","CWHvm1","4","D"
"0003026","CWHvm1","4","E"
"0003027","CWHvm1","4","D"
"0003028","CWHvm1","3","C"
"0003029","CWHvm1","3","C"
"0003030","CWHvm1","4","C"
"0003031","CWHvm1","4","D"
"0003032","CWHvm1","4","C"
"0003033","CWHvm1","3","D"
