"","PlotNumber","Var.2","F","M","TD0","TD1","TD2","TD3","TD4","VW","W","X","NA","BGC_noSpace","BGC_LABEL","BGC_Zone","rSMR","aSMRC","aSMRE","aSMR_Veg","11SiteSeries"
"1","0003051",0,0,0,0,0.1,0.5,30.8,10.6,0,0,26.8,0.1,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /Gb53"
"2","0003052",0,0,0,0,0.2,4.4,21.8,9,0,0,5.5,0,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /Ro"
"3","0003053",0,0,0,0,2.1,6.2,44.7,28,0,0,39.9,0,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /Gb53"
"4","0003054",0,0,0,0,0,0,90,38,0,0,63.2,0,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /01-04 $5B At - Snowberry - Pin Cherry"
"5","0003055",0,0,0,0,0,7.1,10.9,21.7,0,0,66.9,0,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /02"
"6","0003056",0,0,0,0,2,1,77.6,5.2,0,0,74.8,0,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /01-04 $5B At - Snowberry - Pin Cherry"
"7","0003057",0,0,0,20,0,12.1,5.8,0,0,0,39,0,NA,NA,NA,NA,NA,NA,"0XD","SBS dk   /Gg"
"8","0003060",0,0,0,0.1,1.1,5.2,77,3,0,0,21.4,0,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /Gb53"
"9","0003063",0,0,0,1,10.1,1.3,4.5,0,0,0,2.5,0,NA,NA,NA,NA,NA,NA,"2VD","SBS dk   /Ro"
"10","0003064",0,0,0,40,2.5,8,15,0,0,0,8,0,NA,NA,NA,NA,NA,NA,"2VD","SBS dk   /Gg"
"11","0003065",0,0,0,0,0,8,102.6,29,0,0,69.6,0,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /01-04 $5B At - Snowberry - Pin Cherry"
"12","0003068",0,0,0,0,0.5,5.4,30.9,0.2,0,0,12.1,0,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /Gb53"
"13","0003069",0,0,0,0,0,0,75,9,0,0,92.7,0,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /01-04 $5B At - Snowberry - Pin Cherry"
"14","0003070",0,0,0,0,1,19.1,94.2,16,0,0,115.6,0,NA,NA,NA,NA,NA,NA,"3MD","SBS dk   /04 $ Aspen - Juniper - Grass%"
"15","0003352",0,0.1,74,0,0,0,4,0,0,0,191.2,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS dk   /Ws07"
"16","0003452",0,0,2,0,0,5,38,110.1,0,0,183.1,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"5F","SBS dk   /01-06 $5M AtSx - Soopolallie (mature)"
"17","0004652",0,0,0,0,0,45,31,40,0,0,66.1,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"3MD","SBS dk   /03"
"18","0005453",0,0,0.1,0,0,5,18,40,0,0,167.4,0,"ESSFmv1","ESSFmv 1","ESSF","4",4,5,"3MD","SBS dk   /05"
"19","0018453",0,0,2,0,0,3.1,8.3,40.2,0,0,74.5,0,"SBSdk","SBS dk","SBS ","4",4,4,"5F","SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)"
"20","0018652",0,0,0,0,0,3,3.3,19.1,0,0,119.8,0,NA,NA,NA,NA,NA,NA,"4SD","SBS dk   /01"
