"","PlotNumber","Var.2","F","M","TD0","TD1","TD2","TD3","TD4","VW","W","X","NA","BGC_noSpace","BGC_LABEL","BGC_Zone","rSMR","aSMRC","aSMRE","aSMR_Veg","11SiteSeries"
"1","0003072",0,0,0,0,0.2,12.6,77.4,6,0,0,23.8,0,NA,NA,NA,NA,NA,NA,"3MD","SBS mc 2 /Gb53"
"2","0105160",0,7.2,39.1,0,0,0,0,0.6,0,0,107.9,0,NA,NA,NA,NA,NA,NA,"6M","SBS mc 2 /09"
"3","0105161",0,6.2,0,0,0,0,11.1,15.6,0,0,114.4,0,NA,NA,NA,NA,NA,NA,"3MD","SBS mc 2 /02"
"4","0114634",0,5.9,0.1,0,0,0,0.1,22,0,0,124.8,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS mc 2 /01"
"5","0114635",0,15.3,6.7,0,0,0,0.1,3,0,0,156.7,0,NA,NA,NA,NA,NA,NA,"5F","SBS mc 2 /06"
"6","0114636",0,8.2,0,0,0,0,0.1,6,0,0,156.2,0,NA,NA,NA,NA,NA,NA,"5F","SBS mc 2 /01"
"7","0114637",0,0,0,0,0,8,10.6,6.5,0,0,127.6,0,"SBSmc2","SBS mc 2","SBS ","2",3,3,"3MD","SBS mc 2 /02"
"8","0114638",0,0,0.1,0,0,1,0.7,11.1,0,0,139.4,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"5F","SBS mc 2 /02"
"9","0114639",0,5.1,0,0,0,0.2,0,4.5,0,0,160.5,0,NA,NA,NA,NA,NA,NA,"5F","SBS mc 2 /01"
"10","0114640",0,13.1,34.3,0,0,0,2,1,0,0,75.3,0,NA,NA,NA,NA,NA,NA,"6M","SBS mc 2 /06"
"11","08-0144",0,0,1.7,0,0,0,0.7,2.5,0,0,173.8,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /$Act"
"12","08-0149",0,0,47.2,0,0,0,0,0,0,0,178.4,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /$Act"
"13","08-3312",0,0,47.2,0,0,0,0,0,0,0.1,121.2,0,"SBSmc2","SBS mc 2","SBS ","6",6.5,7,"6M","SBS mc 2 /Fm03"
"14","102480",0,23.6,70.7,0,0,0,0.7,16.3,0,0,222.9,0,"ESSFmc","ESSFmc","ESSF","5",6.5,6,"6M","SBS mc 2 /06"
"15","102580",0.7,0,0.5,0,0,20,38.3,43,0,8,155.1,0,"SBSmc2","SBS mc 2","SBS ","2",3,3,"3MD","SBS mc 2 /02"
"16","102680",0,1.4,2.4,0,0,0,6.5,11,0,0,227.8,0,"ESSFmc","ESSFmc","ESSF","5",6.5,6,"5F","SBS mc 2 /05"
"17","102780",0,25.7,7.1,0,0,0,0.7,5,0,8,236.3,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"6M","SBS mc 2 /01"
"18","102880",0,38.4,59.1,0,0,0,2,11.4,0,0,215.3,0,"ESSFmc","ESSFmc","ESSF","5",6.5,6,"6M","SBS mc 2 /06"
"19","102980",0,23.7,3.7,0,0,0,0.7,66,0,0,211.9,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"20","103080",0,38.2,6.4,0,0,0,1.5,59.7,0,7,269.3,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"6M","SBS mc 2 /01"
"21","103180",0,16.4,1.4,0,0,0,0.6,37.9,0,1,271.5,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"22","103280",0,1.5,0.6,0,0,0.5,1.8,57.1,0,0,182.6,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS mc 2 /01"
"23","103380",0,8.6,35.7,0,0,0,0.5,18.5,0,2,202.2,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /06"
"24","103480",0,0,0.8,0,0,2,35.1,65,0,0,110.7,0,"SBSmc2","SBS mc 2","SBS ","2",3,3,"3MD","SBS mc 2 /02"
"25","103580",0,15.9,7.2,0,0,0,0,56.2,0,0,235.6,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"26","1037",0,0,1,0.1,0,10,76,20.7,0,0,67.2,0.1,"SBSmc2","SBS mc 2","SBS ","1",2.5,3,"3MD","SBS mc 2 /02"
"27","103780",0,21.4,5.9,0,0,0,1.8,38,0,1,154.8,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"5F","SBS mc 2 /05"
"28","103880",0,35,49,0,0,0,1.2,55,0,0,236.9,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /06"
"29","103980",0,5,2.4,0,0,0,4.3,46.1,0,0,205.8,0.3,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"30","104080",0,10.3,1.1,0,0,0,8.8,23.2,0,0,229.4,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS mc 2 /01"
"31","104180",0,18.7,0,0,0,0,0,73,0,0,156.9,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS mc 2 /01"
"32","104280",0,0,0,0,0,2,4.5,44.3,0,0,208.8,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS mc 2 /01"
"33","104380",0,31,42,0,0,0,0,18,0,0,240.3,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /09"
"34","104480",0,15,92.9,0,0,0,0.3,1,0,4,163.1,4,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /10"
"35","104580",0,5,58,0,0,0,0.8,4,0,1,193.2,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"6M","SBS mc 2 /06"
"36","104680",0,10.2,88.2,0,0,0,0,2,0,0,185.8,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /09"
"37","107980",0,5.5,22,0,0,0,0.3,5.3,0,0,164.7,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"6M","SBS mc 2 /06"
"38","108080",0,45,97.7,0,0,0,0,3,0,0,210.2,2,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /06"
"39","108180",0,7.7,12.7,0,0,0,0,2,0,0,189.4,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"6M","SBS mc 2 /06"
"40","108280",0,30,0.9,0,0,0,0,4,0,0,186.2,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"41","108380",0,25,0,0,0,0,0.6,23,0,0,208.2,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS mc 2 /01"
"42","108480",0,4,0,0,0,0,0.6,43.2,0,0,215.2,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS mc 2 /01"
"43","108580",0,45.3,9.1,0,0,0,0.3,2.8,0,0,212.5,0,"ESSFmc","ESSFmc","ESSF","4",5,5,"5F","SBS mc 2 /01"
"44","115178",0,5.5,0.5,0,0,0,2,3.5,0,0,170,0,"ESSFmc","ESSFmc","ESSF","4",5,5,"5F","SBS mc 2 /01"
"45","115278",0,2,0.5,0,0,0,0.5,2,0,0,150,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"46","115378",0,0.5,16,0,0,0,1,0,0.5,101.5,55.5,0,"SBSmc2","SBS mc 2","SBS ","7",8,8,"8W","SBS mc 2 /Wb05"
"47","115878",0,0,1,0,0,0,1,25,0,0,128.5,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"4SD","SBS mc 2 /01"
"48","116378",0,0,0,0,0,1.5,5,19,0,0,122,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"4SD","SBS mc 2 /01"
"49","116478",0,1,0.5,0,0,0,4,30.5,0,7,211.5,0,"SBSdk","SBS dk","SBS ","4",4,4,"5F","SBS mc 2 /01"
"50","116778",0,0,3.5,0,0,0.5,6,13,0,0.5,171,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"51","116780",0,32.5,75.5,0,0,0,0,1.5,0,1,126.5,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /06"
"52","117578",0,1,119.5,0,0,0,0,0.5,0,0,115.5,0,"CWHws2","CWH ws 2","CWH ","6",7,7,"6M","SBS mc 2 /09"
"53","117778",0,11,2,0,0,0,1,36,0,0,152,0,"CWHws2","CWH ws 2","CWH ","4",5,5,"5F","SBS mc 2 /01"
"54","117878",0,5,87.5,0,0,0,0,2.5,0,0,109.5,0,"CWHws2","CWH ws 2","CWH ","5",6,6,"6M","SBS mc 2 /09"
"55","118878",0,4.5,0,0,0,0,0,9,0,0,202.5,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"56","118978",0,1.5,82,0,0,0,0,0,0,2,151,0,"ICHmc1","ICH mc 1","ICH ","5",6.5,6,"6M","SBS mc 2 /09"
"57","119878",2.5,0,17,0,0,0,1,4.5,0,0,200,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"6M","SBS mc 2 /05"
"58","119880",0,0.5,0.5,0,0,5,6,28.5,0,0,281.5,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"4SD","SBS mc 2 /03"
"59","119978",0,8,0,0,0,0,0.5,25,0,0,193.5,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS mc 2 /01"
"60","120278",0,2,63,0,0,0,0,0.5,0,2.5,179.5,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /10"
"61","120378",0,0.5,0,0,0,0,0.5,4.5,0,0,201.5,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"5F","SBS mc 2 /01"
"62","120578",0,3,11.5,0,0,0,0.5,18,0,0,250.5,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /05"
"63","120680",0,0,15,0,0,0,2.5,2.5,0,0,284,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"6M","SBS mc 2 /01"
"64","120778",0,11,12,0,0,0,0.5,33.5,0,1,170,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /03"
"65","120780",0,34,244,0,0,0,0,2,0,3.5,128.5,0,"SBSmc2","SBS mc 2","SBS ","6",6.5,7,"6M","SBS mc 2 /10"
"66","120878",2.5,2,104.5,0,0,0,1,2.5,0,1.5,162.5,0.5,"SBSwk3","SBS wk 3","SBS ","6",7,7,"6M","SBS mc 2 /10"
"67","120980",0,60,6.5,0,0,0,0,21,0,0,164.5,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"5F","SBS mc 2 /01"
"68","121080",0,13.5,87,0,0,0,0.5,3.5,0,1,161.5,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /06"
"69","121180",0,7.5,96.5,0,0,0,0,0,0,88.5,138.5,0,"SBSmc2","SBS mc 2","SBS ","7",8,8,"8W","SBS mc 2 /10Ws07"
"70","121280",0,0,0,0,0,20,31,6,0,0,175.5,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"3MD","SBS mc 2 /01"
"71","121380",0,0,0,0,0,0.5,38.5,96.5,0,0,75,0,"SBSmc2","SBS mc 2","SBS ","2",3,3,"4SD","SBS mc 2 /02"
"72","121480",0,20.5,6,0,0,0,0,4,0,0,242.5,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"73","121680",0,32,11.5,0,0,0,8.5,62.5,0,0,195.5,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"6M","SBS mc 2 /01"
"74","121780",0,0,0,0,0,3.5,8,20,0,0,234.5,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"3MD","SBS mc 2 /01"
"75","121980",0,15,1,0,0,0,0,6,0,0,113,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"76","122080",0,0,2.5,0,0,1,2,4,0,0,88.5,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"77","123178",0,12,0.5,0,0,0,1,27.5,0,0,247,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS mc 2 /01"
"78","123978",0,0,0.5,0,0,0.5,3.5,59,0,0,206.5,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"4SD","SBS mc 2 /01"
"79","124080",0,42,0.5,0,0,0,0,60,0,0,185,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS mc 2 /01"
"80","124180",0,31,0,0,0,0,0,5.5,0,0,231,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"81","124880",0,0.5,1.1,0,0,0.3,5.7,17.5,0,0,144.7,0,"SBSdw3","SBS dw 3","SBS ","4",4,4,"4SD","SBS mc 2 /01"
"82","124980",0,0.1,0.5,0,0,2,1.2,34.3,0,0.5,182.2,0,"SBSdw3","SBS dw 3","SBS ","4",4,4,"4SD","SBS mc 2 /01"
"83","125080",0,25.5,1,0,0,0,4,7,0,0,199,0,"ICHmc1","ICH mc 1","ICH ","4",5.5,5,"5F","SBS mc 2 /01"
"84","125378",0.5,10.5,70,0,0,0,0.5,3.5,0,12.5,166.5,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"7VM","SBS mc 2 /10"
"85","125478",0,16,9.5,0,0,0,0,11,0,0,200.5,0,"ICHmc1","ICH mc 1","ICH ","4",5.5,5,"5F","SBS mc 2 /01"
"86","130178",0,6.5,1.5,0,0,0,0,4,0,0,220,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"87","130278",0,0,2,0,0,0,1,6,0,0,246.1,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /05"
"88","130378",0,0.5,0,0,0,0,0.5,41,0,0,240,0,"MHmm2","MH  mm 2","MH  ","4",5.5,5,"4SD","SBS mc 2 /03"
"89","130878",0,10,93,0,0,0,0,0.5,0,0,93.5,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /09"
"90","130978",0,12.5,0.5,0,0,0,1.5,17,0,0,160.5,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"5F","SBS mc 2 /03"
"91","131078",0,12.5,64,0,0,0,0,2.5,0,1.5,180.5,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /06"
"92","131178",0,9.5,5.5,0,0,0,0.5,15.5,0,0,223,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"93","131278",0,5,0,0,1,0,23.5,34.5,0,0,95.5,0,"SBSmc2","SBS mc 2","SBS ","2",3,3,"3MD","SBS mc 2 /02"
"94","131478",0,0.5,4,0,0,0.5,0,0.5,1,116.5,124,0,"SBSmc2","SBS mc 2","SBS ","6",6.5,7,"8W","SBS mc 2 /Wb11"
"95","160078",0,0,0,0.5,1,2,79,5.5,0,0,32,0,"SBSmc2","SBS mc 2","SBS ","2",3,3,"3MD","SBS mc 2 /Gb53"
"96","160278",0,25,0,0,0,0,1,14,0,0,186.5,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"5F","SBS mc 2 /01"
"97","161078",0,10.5,76.5,0,0,0,0.5,0.5,0,0,188.5,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /09"
"98","161081",0,0,0,0,0,0.5,1.5,26,0,0,149,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"4SD","SBS mc 2 /01"
"99","161178",0,11,2.5,0,0,0,0,32,0,0,188,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"100","161878",0,3,0,0,0,29,36.5,3,0,0,58.5,0,"SBSmc2","SBS mc 2","SBS ","2",3,3,"3MD","SBS mc 2 /02"
"101","162878",0,0,48,0,0,0,11.5,12,0,1,193.5,1,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /09"
"102","162978",0,0,0,0,0,0,1,22,0,1,221.5,1,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS mc 2 /05"
"103","163678",0,3,0,0,0,8,71.5,36.5,0,0,40.5,0,"SBSmc2","SBS mc 2","SBS ","1",2.5,3,"3MD","SBS mc 2 /02"
"104","164578",0,6.5,1,0,0,0,0,2,0,0,188.5,0,"ICHmc1","ICH mc 1","ICH ","4",5.5,5,"5F","SBS mc 2 /01"
"105","260581",0,0.6,31.1,0,0,0,0.1,1.1,0,70,118,0,"SBSwk1","SBS wk 1","SBS ","7",8,8,"8W","SBS mc 2 /Wb09"
"106","264781",0,0.1,4.1,0,0,0,0.1,0,36,142.6,69.8,0.1,"SBSmk1","SBS mk 1","SBS ","7",8,8,"9VW","SBS mc 2 /Wb11"
"107","301450",0,0,0,0,0,0,30.5,28.5,0,0,174,0,"ESSFmc","ESSFmc","ESSF","3",4.5,4,"3MD","SBS mc 2 /01"
"108","301550",0,0,18.5,0,0,0,0.5,5,0,0,171.5,0,"ESSFmc","ESSFmc","ESSF","5",6.5,6,"6M","SBS mc 2 /05"
"109","301650",0,0,0,0,0,2,5,7,0,0,156,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"5F","SBS mc 2 /02"
"110","301850",0,0.5,2.5,0,0,0,5,27,0,0,241.5,0,"ESSFmc","ESSFmc","ESSF","4",5,5,"5F","SBS mc 2 /01"
"111","301950",0,0.5,2,0,0,0,2.5,5,0,0,183.5,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"112","302050",0,0,0,0,0,0,0,1.5,0,0,147,0,"SBSdk","SBS dk","SBS ","3",3.5,4,"5F","SBS mc 2 /01"
"113","302150",0,0,0.5,0,0,1,5,28.5,0,0,162,1,"SBSdk","SBS dk","SBS ","3",3.5,4,"4SD","SBS mc 2 /01"
"114","302250",0,0,0,0,0,0,18,13,0,0,26,0,"ESSFmc","ESSFmc","ESSF","1",3,3,"3MD","SBS mc 2 /03"
"115","302450",0,0,0.5,0,0,0,1,14,0,0,203,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"116","410079",0,0.5,52.5,0,0,0,0.5,3,0,0,214,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /09"
"117","410279",0,2.5,0.5,0,0,0,1,10,0,0,264.5,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"118","410579",0,18,16.5,0,0,0,0,4,0,0,242,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"6M","SBS mc 2 /01"
"119","410779",0,0.5,1.5,0,0,0,2.5,5.5,0,0,230.5,0,"SBSdk","SBS dk","SBS ","4",4,4,"5F","SBS mc 2 /01"
"120","412079",0,0,2.5,0,0,0,16.5,21.5,0,0,259,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"3MD","SBS mc 2 /01"
"121","412379",0,0,2.5,0,0,0,0.5,3,0,0,280,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"122","412579",0,8.5,3.5,0,0,0,2.5,0.5,0,0,283,0,"SBSdk","SBS dk","SBS ","4",4,4,"5F","SBS mc 2 /01"
"123","412979",0,1.5,0,0,0,0.2,1,1.2,0,0,258.2,0,"SBSdk","SBS dk","SBS ","4",4,4,"5F","SBS mc 2 /01"
"124","413979",0,0,1,0,0,2,8,57,0,0,292,0,"SBSdk","SBS dk","SBS ","5",5,5,"4SD","SBS mc 2 /01"
"125","415879",0,1,1,0,0,0,2,48.5,0,0,272.5,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS mc 2 /01"
"126","415979",0,0.5,1,0,0,0,3.5,6.5,0,0,249,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"5F","SBS mc 2 /01"
"127","416179",0,19,12,0,0,0,0.5,3,0,0,301.5,0,"SBSdk","SBS dk","SBS ","5",5,5,"6M","SBS mc 2 /06"
"128","416279",0,8.5,0.5,0,0,0,1.5,20,0,0,240.5,0,"ESSFmv1","ESSFmv 1","ESSF","4",4,5,"4SD","SBS mc 2 /01"
"129","416779",0,0.5,54,0,0,0,9.5,8.5,0,6,278,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /10"
"130","417879",0,0,0.5,0,0,0,30,37,0,0,228.5,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"3MD","SBS mc 2 /01"
"131","417979",0,0.5,0,0,0,0,6.5,35,0,0,242,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS mc 2 /01"
"132","418079",0,17.5,3,0,0,0,3,48,0,0.5,286,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"133","418179",0,2,0,0,0,0,1,26.5,0,0,217,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"4SD","SBS mc 2 /01"
"134","418279",0,22,21.5,0,0,0,0,4,0,0,274,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"6M","SBS mc 2 /01"
"135","418379",0,0.5,0,0,0,4,18,55,0,0,212.5,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"4SD","SBS mc 2 /01"
"136","419079",0,0,0,0,0,0,3,17,0,0,303.5,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"137","419279",0,0.5,0,0,0,0.5,2.5,27,0,0,225,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"4SD","SBS mc 2 /03"
"138","426879",0,1,6,0,0,0,5.5,15.5,0,0,234,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"139","427079",0,18,155.5,0,0,0,1,0.5,0,0,145,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /09"
"140","427279",0,4.5,10.5,0,0,0,0,4.5,0,0,285,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /05"
"141","431979",0,0,12.5,0,0,0,0.5,0,0,0,185.5,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /09(Fmfan)"
"142","439479",0,1.5,2.5,0,0,0,0.5,9.5,0,0,177,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"5F","SBS mc 2 /01"
"143","441479",0,1,0,0,0,10,37,22.5,0,2,109.5,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"3MD","SBS mc 2 /02"
"144","450079",0,8.5,95.5,0,0,0,0,9.5,0,0.5,216,0,"SBSmc2","SBS mc 2","SBS ","5",5.5,6,"6M","SBS mc 2 /06"
"145","702450",0,0,0.5,0,0,0,5,41,0,0,228.5,0,"SBSmc2","SBS mc 2","SBS ","4",4.5,5,"4SD","SBS mc 2 /01"
"146","703450",0,32.5,3,0,0,0,0,40.8,0,0,234.6,0,NA,NA,NA,NA,NA,NA,"5F","SBS mc 2 /10"
"147","704250",0,0,0,0,0,2,4.5,40.4,0,0,76,0,NA,NA,NA,NA,NA,NA,"4SD","SBS mc 2 /02"
"148","704750",0,12,0.5,0,0,0,0.5,36,0,0,237.7,0,NA,NA,NA,NA,NA,NA,"4SD","SBS mc 2 /01"
"149","704950",0,0.5,1.5,0,0,0,7.5,5,0,0,252.2,0,NA,NA,NA,NA,NA,NA,"5F","SBS mc 2 /01"
"150","705050",0,0,139.5,0,0,0,0,0,0,0,145.3,0,NA,NA,NA,NA,NA,NA,"6M","SBS mc 2 /09"
"151","8102433",0,1.1,0,0,0,0,0.6,5.5,0,0,157.3,0,"SBSmc2","SBS mc 2","SBS ","3",3.5,4,"5F","SBS mc 2 /01"
