"","SiteSeries","3MD","4SD","5F","6M","7VM","8W","9VW"
"1","SBS mc 2 - SIBEC",3,0,6,0,0,0,0
"2","SBS mc 2 /$Act",0,0,2,1,0,0,0
"3","SBS mc 2 /01",13,32,65,6,0,0,0
"4","SBS mc 2 /02",13,2,3,0,0,0,0
"5","SBS mc 2 /03",1,3,1,1,0,0,0
"6","SBS mc 2 /04",2,2,13,2,0,0,0
"7","SBS mc 2 /05",0,1,3,4,0,0,0
"8","SBS mc 2 /06",0,0,3,17,0,0,0
"9","SBS mc 2 /07",0,0,0,1,0,0,0
"10","SBS mc 2 /08",0,0,0,3,0,0,0
"11","SBS mc 2 /09",0,0,0,15,0,0,0
"12","SBS mc 2 /09(Fmfan)",0,0,0,1,0,0,0
"13","SBS mc 2 /10",0,0,1,5,2,0,0
"14","SBS mc 2 /10Ws07",0,0,0,0,0,1,0
"15","SBS mc 2 /11",0,0,0,3,1,0,0
"16","SBS mc 2 /ActAt-Devils club",0,0,0,1,0,0,0
"17","SBS mc 2 /Fh1",0,0,0,1,0,0,0
"18","SBS mc 2 /Fl1",0,0,0,1,0,0,0
"19","SBS mc 2 /Fm02",0,0,0,2,0,0,0
"20","SBS mc 2 /Fm02a",0,0,0,1,0,0,0
"21","SBS mc 2 /Fm03",0,0,0,2,0,0,0
"22","SBS mc 2 /Gb03",1,0,0,0,0,0,0
"23","SBS mc 2 /Gb53",5,0,0,0,0,0,0
"24","SBS mc 2 /Sx-Hardhack",0,0,0,1,1,3,0
"25","SBS mc 2 /un",0,0,1,5,1,16,3
"26","SBS mc 2 /Vs01.2",0,0,0,1,0,0,0
"27","SBS mc 2 /Wb05",0,0,0,0,0,13,2
"28","SBS mc 2 /Wb08",0,0,0,0,0,1,0
"29","SBS mc 2 /Wb09",0,0,0,0,0,8,0
"30","SBS mc 2 /Wb10",0,0,0,0,0,2,0
"31","SBS mc 2 /Wb11",0,0,0,0,0,1,1
"32","SBS mc 2 /Wb12",0,0,0,0,0,3,1
"33","SBS mc 2 /Wf02",0,0,0,0,0,5,0
"34","SBS mc 2 /Wf05",0,0,0,0,0,0,2
"35","SBS mc 2 /Wf07",0,0,0,0,0,1,4
"36","SBS mc 2 /Wf08",0,0,0,0,0,1,3
"37","SBS mc 2 /Wf09",0,0,0,0,0,1,1
"38","SBS mc 2 /Wf10",0,0,0,0,0,2,4
"39","SBS mc 2 /Wm01",0,0,0,0,0,5,0
"40","SBS mc 2 /Ws02",0,0,0,0,0,2,0
"41","SBS mc 2 /Ws04",0,0,0,1,0,3,0
"42","SBS mc 2 /Ws07",0,0,0,0,0,4,0
"43","SBS mc 2 /xFl01",0,0,1,0,0,0,0
"44","SBS mc 2 /xFm02",0,0,0,2,0,0,0
