,Species,Q10,Mode,Q90,SD,NumPlots
1,ABIEABI,2.5,4.5,6.5,1.463182197,28
2,ABIEAMA,4.5,5.5,6.5,0.921254371,2825
3,ABIEGRA,3,4,6,1.187215653,516
4,ABIELAS,4,4.5,6.5,1.089781676,11649
5,ACERCIR,3,4.5,6,1.02099634,103
6,ACERGLA,2.5,3.5,6,1.230009147,3427
7,ACERMAC,3.5,5,6.5,1.240240276,340
8,ACHIMIL,1.5,2.5,6,1.648801551,4526
9,ACHLTRI,3.5,4.5,6,0.933074269,297
10,ACHNNEL,1.5,2,3,0.7189016,160
11,ACHNOCC,1.5,2.5,3.5,0.80138955,224
12,ACHNRIC,2,3,4,0.679668361,298
13,ACONCOL,5.5,6.5,7.5,0.779601728,49
14,ACONDEL,4,4.5,7.5,1.260831986,268
15,ACTARUB,4,5.5,7,1.092081398,2757
16,ADENBIC,3,4.5,7,1.461983108,690
17,ADIAALE,5,6.5,7.5,0.93182205,141
18,AGOSAUR,2.5,4.5,5,1.074730863,43
19,AGOSERI,1,3,5.5,1.662630847,24
20,AGOSGLA,2,2,5,1.145492859,213
21,AGROCRI,2,2,3.5,1.146982039,16
22,AGROEXA,5.5,7.5,8,1.137769031,39
23,AGROGIG,3.5,6,8,1.688135941,51
24,AGROPYR,2,2,5,1.423611814,59
25,AGROSCA,2.5,8,8,2.255525767,308
26,AGROSTI,1.5,6.5,8,2.229779774,164
27,AGROSTO,3,3,8,1.738374487,14
28,AGROVAR,2.5,8,8,2.330036024,11
29,AIRAPRA,1.5,2,3.5,0.852418781,14
30,ALLICER,1,2,3.5,0.959887315,825
31,ALNUINC,4.5,8,8,1.332924062,1621
32,ALNURUB,4,6.5,7.5,1.168630077,861
33,ALNUS,4,6.5,7.5,1.384396146,121
34,ALNUVIR,4,6.5,7,1.239112135,4714
35,ALYSALY,0.5,0.5,2,0.70722776,13
36,AMBLSER,5,6,8,0.887702161,26
37,AMELALN,1.5,3.5,5,1.260861444,6343
38,ANAPMAR,3.5,4.5,6.5,1.179061089,621
39,ANDRPOL,8,8,8,0.391480819,183
40,ANDRRUP,1,3,3.5,0.967465401,22
41,ANDRSEP,1.5,3.5,3.5,0.934418359,57
42,ANEMMUL,2,3,5.5,1.366216837,523
43,ANEMONE,3,6.5,6.5,1.444186421,34
44,ANEMPAR,3.5,6,6.5,1.335676826,71
45,ANEORIC,6.5,8,8,0.731997036,17
46,ANGEARG,4.5,8,8,1.272750822,130
47,ANGEGEN,5,6.5,8,1.131257195,256
48,ANGELIC,4.5,8,8,1.229849893,31
49,ANGELUC,6.5,6.5,8,0.75384959,22
50,ANTEANA,2,2.5,3.5,1.116544554,26
51,ANTEDIM,0.5,2,3,0.927289379,243
52,ANTEMIC,0.5,2,4,1.392087972,740
53,ANTENEG,2,3,4.5,1.007932552,782
54,ANTENNA,2,2,3.5,1.092146998,342
55,ANTEPAR,1.5,2,3.5,0.857637981,168
56,ANTEPUL,1.5,5,6.5,1.870905376,153
57,ANTERAC,2,3,4,0.798195464,796
58,ANTEROS,2,3,3.5,0.649902812,27
59,ANTEUMB,1.5,2,3,0.865219388,629
60,ANTHMON,3.5,4.5,5,0.858152756,46
61,ANTHODO,1.5,2.5,3.5,0.716587975,21
62,ANTICUR,4.5,6.5,6.5,0.784074635,14
63,ANTIELE,2.5,3,6,1.4339765,152
64,ANTIOCC,3.5,4.5,7,1.325738402,186
65,APOCAND,1.5,3,4.5,1.102599798,607
66,AQUIFLA,3.5,3.5,6,1.03925858,48
67,AQUIFOR,3.5,4,6.5,1.212589939,513
68,AQUILEG,3,4.5,6,1.080630301,21
69,ARABHOL,0.5,0.5,3,1.09717952,632
70,ARABIS,1.5,4,4,1.415309335,74
71,ARALNUD,3.5,4,6,1.074383388,3163
72,ARBUMEN,2,2,3.5,0.679557911,190
73,ARCTALI,2.5,4.5,8,1.877622287,12
74,ARCTMIN,3.5,3.5,5.5,0.981938737,18
75,ARCTRBR,4,8,8,1.67224124,146
76,ARCTUVA,2,3,4,0.898242682,3419
77,ARENSER,1,2.5,2.5,0.759700939,37
78,ARISPUR,0.5,0.5,1.5,0.570501444,25
79,ARNIANG,4,4,8,1.739138113,15
80,ARNICA,4,6,6.5,1.091549812,157
81,ARNICHA,5,6.5,8,1.278955206,31
82,ARNICOR,3,4.5,6,1.141762433,5105
83,ARNIFUL,0.5,2,3.5,0.999255019,96
84,ARNILAT,4,5.5,6.5,1.029407033,1815
85,ARNIMOL,4.5,7,7,1.166592036,40
86,ARTECAM,0.5,2,3,0.800804475,167
87,ARTEDRA,0.5,4.5,4.5,1.58998943,96
88,ARTEFRI,0.5,2,3,0.92331251,654
89,ARTEMIC,0.5,2,5,1.825143748,22
90,ARTENOR,3,5,6.5,1.357696344,221
91,ARTETRI,0.5,0.5,3,0.920607832,371
92,ARTETRP,1,2,2,0.590486106,23
1161,ARUNDIO1,5,6.5,6.5,0.728761385,1136
93,ASARCAU,4.5,5,7,0.981634227,421
94,ASTER,3,8,8,1.885731825,760
95,ASTERAC,2.5,6,6.5,1.591442315,30
96,ASTRAGA,1.5,2,4,1.092132766,105
97,ASTRAGR,2,3,3.5,0.623247059,48
98,ASTRALP,4.5,5.5,6,0.551599742,30
99,ASTRAME,4.5,5,6,0.703464185,26
100,ASTRMIS,1.5,2,3.5,0.803493439,888
101,ASTRPUR,0.5,1,2,0.57826527,56
102,ASTRTEN,0.5,0.5,3.5,1.109081227,59
103,ATHYFIL,5.5,6.5,8,0.861521842,4443
104,ATRISEL,4,5.5,6.5,1.117721594,90
105,AULAAND,2.5,2.5,4.5,0.98628052,27
106,AULACOM,4,8,8,1.365941521,68
107,AULAPAL,5,8,8,1.21157479,1913
108,BALSSAG,0.5,1.5,2.5,0.719584506,607
109,BARBBAR,2.5,4.5,6.5,1.504515,82
110,BARBHAT,3,4.5,6,1.282981611,321
111,BARBILO,4,5,6.5,1.085578049,683
112,BARBLYC,4,5,6.5,1.007975104,2460
113,BAZZANI,3.5,5.5,7.5,1.375106704,37
114,BAZZDEN,4.5,6.5,6.5,0.80884042,58
115,BAZZTRI,3.5,8,8,1.603184141,99
116,BAZZTRL,5.5,8,8,1.265858715,53
117,BERBAQU,2.5,3,4,0.852909194,2713
118,BERBERI,2,3,4,0.745262368,45
119,BERBNER,2.5,3.5,5,0.789879498,664
120,BERBREP,2,3.5,5,1.114618929,41
121,BETUGLA,4,5,7,1.252168579,43
122,BETULA,3.5,3.5,8,1.621231694,15
123,BETUNEO,3.5,8,8,1.74002945,40
124,BETUOCC,3.5,3.5,6,1.390615085,83
125,BETUPAP,3,4,6,1.207203469,3329
126,BETUPUM,5,8,8,1.324329222,43
127,BISTVIV,3.5,5,7,1.202650472,76
128,BLECSPI,5,6.5,7.5,0.953216173,2224
129,BLEPTRI,4.5,6.5,7.5,1.088566348,119
130,BOTRLUN,4,6,7,1.084936117,12
131,BOTRVIG,4,6,7,1.06655227,152
132,BOYKOCC,5.5,6.5,8,0.925192254,30
133,BRACALB,2,3.5,6.5,1.713527159,350
134,BRACERY,5,5,6.5,0.789831635,14
135,BRACFRI,4.5,5.5,7.5,1.188219645,142
136,BRACHYL,4.5,5.5,8,1.226529814,952
