"","Species","0.5","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","NA"
"1","ABIEABI",4,2,7,9,6,3,3,8,1,4,1,1,3,NA,NA,NA,87
"2","ABIEAMA",NA,NA,2,4,9,23,119,137,337,565,174,709,500,36,50,164,217
"3","ABIEBAL",NA,NA,NA,NA,NA,NA,1,3,1,NA,1,1,1,1,NA,NA,3
"4","ABIEGRA",NA,NA,NA,7,40,78,120,102,46,62,9,3,42,1,NA,11,23
"5","ABIELAS",NA,2,19,49,140,441,955,1521,2118,1526,1291,1074,1456,319,326,412,4666
"6","ABIES",NA,NA,NA,1,NA,NA,NA,1,2,2,NA,NA,1,NA,NA,NA,1
"7","ACARFUS",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ACARGLA",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ACAROSO",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ACAROSP",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"11","ACARSCH",3,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ACER",NA,NA,NA,NA,1,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,2
"13","ACERCIR",NA,NA,NA,3,NA,19,27,7,18,13,3,9,10,NA,NA,NA,NA
"14","ACERGLA",33,13,52,104,245,476,652,473,498,237,228,179,170,36,17,14,850
"15","ACERMAC",NA,NA,2,17,24,12,65,45,26,68,16,12,47,NA,4,8,27
"16","ACERNEG",NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"17","ACHIALI",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1
"18","ACHILLE",NA,1,1,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1
"19","ACHIMIL",263,134,307,547,532,511,589,546,297,219,159,113,173,38,20,78,1555
"20","ACHLTRI",NA,NA,NA,NA,3,13,65,17,57,59,25,21,40,4,NA,5,95
"21","ACHNLEM",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ACHNNEL",10,1,22,59,37,12,15,4,5,1,NA,NA,NA,NA,NA,NA,83
"23","ACHNOCC",8,6,18,56,58,49,30,4,2,2,1,NA,1,NA,NA,2,61
"24","ACHNRIC",4,6,17,62,70,80,39,27,4,5,NA,3,1,NA,NA,NA,114
"25","ACMIAME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"26","ACMIDEN",2,3,2,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ACMIMIC",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ACONCOL",NA,NA,NA,NA,NA,NA,3,NA,4,1,13,6,22,5,5,4,16
"29","ACONDEL",NA,NA,NA,NA,NA,4,8,30,15,34,23,35,59,22,26,16,427
"30","ACONITU",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"31","ACTAEA",NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,1
"32","ACTARUB",NA,NA,1,1,4,34,123,324,352,344,443,325,602,94,55,59,420
"33","ADENBIC",NA,NA,3,7,34,70,85,120,103,81,67,28,76,10,2,13,159
"34","ADENOCA",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","ADIAALE",NA,NA,NA,1,1,NA,8,1,9,22,19,23,44,4,6,12,29
"36","ADIACAP",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"37","ADIANTU",NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,2,NA,NA,NA,1
"38","ADOXMOS",NA,NA,NA,NA,NA,NA,2,2,1,NA,1,1,3,2,1,2,NA
"39","AGASURT",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","AGOSAUR",1,NA,4,3,8,4,4,11,11,1,6,2,3,NA,2,1,134
"41","AGOSERI",2,4,3,4,7,8,7,4,1,1,1,1,3,NA,NA,2,38
"42","AGOSGLA",2,5,11,24,30,38,33,32,15,16,8,6,6,NA,1,1,188
"43","AGOSGRA",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
