"","Species","0.5","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8"
"1","ABIEABI",1.7,1,7.1,7.7,9.5,0.1,4.6,22,58.5,5,30,1,57.5,NA,NA,NA
"2","ABIEAMA",NA,NA,3.5,12.5,90.4,156.02,1452.46,3008.601,7549.741,16256.732,16588.059,10109.388,11224.488,718.801,901.7,2524.185
"3","ABIEBAL",NA,NA,NA,NA,NA,NA,0.5,6.04,0.1,NA,11.1,NA,0.5,55,NA,NA
"4","ABIEGRA",NA,NA,NA,13,243.77,531.154,719.01,836.55,229.91,465.351,307.1,150.6,310,31.5,NA,24.21
"5","ABIELAS",NA,NA,103.6,207.2,1328.12,3250.592,11906.952,23093.396,40394.502,37397.45,28060.688,18172.309,18632.559,4844.003,4608.92,4447.8
"6","ABIES",NA,NA,NA,NA,0.1,NA,NA,1,1,1,5,NA,NA,0.5,NA,NA
"7","ACARFUS",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ACARGLA",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"9","ACAROSO",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ACAROSP",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ACARSCH",6.5,2,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ACER",NA,NA,NA,NA,1,0.2,NA,NA,1,0.1,0.1,NA,NA,NA,NA,NA
"13","ACERCIR",NA,NA,NA,NA,8,125.8,298.5,79.2,323.7,78.2,135.8,153,41.5,NA,NA,NA
"14","ACERGLA",132.6,37.6,140.511,271.9,1161.45,2021.593,3750.632,2323.553,2328.771,1572.95,1041.332,1404.5,754.53,178.05,31.7,34.9
"15","ACERMAC",NA,NA,38,32,165.5,77.5,450.102,371.101,338.102,823.1,561.9,248.001,681.7,NA,17.2,43.51
"16","ACERNEG",NA,NA,NA,NA,NA,NA,7,NA,39.6,NA,NA,NA,NA,NA,NA,NA
"17","ACHIALI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.1,NA,NA,0.1
"18","ACHILLE",NA,NA,1,NA,NA,0.01,NA,NA,1,NA,0.2,NA,NA,NA,NA,NA
"19","ACHIMIL",157.48,94.5,270.592,581.703,608.5,451.025,479.749,332.664,212.681,176.893,118.511,106.769,160.978,25.975,44.602,68.832
"20","ACHLTRI",NA,NA,NA,NA,9,28.1,193.561,61.52,462.34,205.351,321.9,161.51,67.002,21,NA,13.7
"21","ACHNLEM",NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ACHNNEL",26,0.2,58,270.92,81.53,49.9,12.56,28.73,1.51,0.5,NA,NA,NA,NA,NA,NA
"23","ACHNOCC",35.3,10.7,70.7,266.5,313.1,183.4,142.02,16.01,6.5,14,1.5,NA,3,NA,NA,0.51
"24","ACHNRIC",5.1,4,49.41,324.73,464.18,798.671,317.77,157.5,63,18.7,0.1,0.2,0.5,NA,NA,NA
"25","ACMIDEN",0.7,NA,8,2.8,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
"26","ACMIMIC",NA,NA,NA,NA,0.001,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ACONCOL",NA,NA,NA,NA,NA,NA,1.1,NA,2,0.1,15.7,4.9,41.81,0.7,3.2,4.6
