"","Species","SMR_Ind"
"1","ABIEABI","TD4"
"2","ABIEAMA","F"
"3","ABIEBAL","X"
"4","ABIEGRA","X"
"5","ABIELAS","X"
"6","ACARSCH","TD0"
"7","ACERCIR","TD4"
"8","ACERGLA","X"
"9","ACERMAC","X"
"10","ACHIMIL","TD3"
"11","ACHLTRI","X"
"12","ACHNNEL","TD2"
"13","ACHNOCC","TD2"
"14","ACHNRIC","TD3"
"15","ACMIDEN","TD1"
"16","ACONCOL","M"
"17","ACONDEL",""
"18","ACTARUB","X"
"19","ADENBIC","X"
"20","ADIAALE","M"
"21","ADOXMOS","X"
"22","AGOSAUR",""
"23","AGOSERI","TD3"
"24","AGOSGLA","TD3"
"25","AGROCAP","X"
"26","AGROCRI","TD2"
"27","AGROEXA","W"
"28","AGROGIG","X"
"29","AGROPYR","X"
"30","AGROSCA","X"
"31","AGROSTI","X"
"32","AGROSTO","X"
"33","AGROVAR",""
"34","AIRAPRA","TD2"
"35","ALECOCH",""
"36","ALECTOR",""
"37","ALLICER","TD2"
"38","ALLISCH",""
"39","ALLOVIR","TD4"
"40","ALNUINC","X"
"41","ALNURUB","X"
"42","ALNUS","X"
"43","ALNUVIR","X"
"44","ALOPAEQ","W"
"45","ALYSALY","TD1"
"46","ALYSDES","TD1"
"47","AMBLSER","X"
"48","AMBLYST","W"
"49","AMBRCHA","X"
"50","AMELALN","TD3"
"51","AMELANC","TD4"
"52","AMPHNEV","X"
"53","ANAPMAR","X"
"54","ANDRPOL","W"
"55","ANDRRUP","TD3"
"56","ANDRSEP","TD2"
"57","ANEMDRU",""
"58","ANEMLYA","X"
"59","ANEMMUL","TD3"
"60","ANEMNAR",""
"61","ANEMONE","X"
"62","ANEMPAR",""
"63","ANEORIC","W"
"64","ANGEARG","X"
"65","ANGEDAW","X"
"66","ANGEGEN","W"
"67","ANGELIC","M"
"68","ANGELUC","W"
"69","ANTEANA","TD2"
"70","ANTEDIM","TD0"
"71","ANTELAN",""
"72","ANTELUZ","TD2"
"73","ANTEMED",""
"74","ANTEMIC","TD2"
"75","ANTEMON",""
"76","ANTENEG","TD3"
"77","ANTENNA","TD2"
"78","ANTEPAR","TD2"
"79","ANTEPUL","X"
"80","ANTERAC","TD3"
"81","ANTEROS","TD2"
"82","ANTEUMB","TD2"
"83","ANTHMON",""
"84","ANTHODO","TD2"
"85","ANTICUR","M"
"86","ANTIELE","TD4"
"87","ANTIOCC","X"
"88","APIACEA","X"
"89","APOCAND","TD2"
"90","APOCCAN","TD3"
"91","APOCYNU","TD2"
"92","AQUIBRE","X"
"93","AQUIFLA","F"
"94","AQUIFOR","X"
"95","AQUILEG","X"
"96","ARABHOL","TD1"
"97","ARABIS","TD2"
"98","ARABLYT",""
"99","ARALNUD","X"
"100","ARBUMEN","TD2"
"101","ARCTALI","X"
"102","ARCTCOL","TD2"
"103","ARCTCOO",""
"104","ARCTLAP","X"
"105","ARCTLAT",""
"106","ARCTMIN","TD4"
"107","ARCTRBR",""
"108","ARCTUVA","TD2"
"109","ARENARI","X"
"110","ARENSER","TD1"
"111","ARISPUR","TD0"
"112","ARNIANG",""
"113","ARNICA","X"
"114","ARNICHA","X"
"115","ARNICOR","X"
"116","ARNIFUL","TD1"
"117","ARNIGRA","TD4"
"118","ARNIGRI",""
"119","ARNILAN","X"
"120","ARNILAT","F"
"121","ARNILES",""
"122","ARNIMOL",""
"123","ARNIOVA",""
"124","ARNIPAR",""
"125","ARNIRYD",""
"126","ARTECAM","TD1"
"127","ARTEDRA","TD1"
"128","ARTEFRI","TD0"
"129","ARTELUD","TD1"
"130","ARTEMIC","TD1"
"131","ARTEMIS","X"
"132","ARTENOR",""
"133","ARTETIL",""
"134","ARTETRI","TD0"
"135","ARTETRP","TD1"
"136","ASARCAU","X"
"137","ASPAOFF","TD2"
"138","ASPIREP","TD2"
"139","ASPLVIR","X"
"140","ASTEALP","X"
"141","ASTER","X"
"142","ASTERAC","X"
"143","ASTRAGA","TD2"
"144","ASTRAGR","TD3"
"145","ASTRALP",""
"146","ASTRAME","X"
"147","ASTRBEC","TD0"
"148","ASTRBOU",""
"149","ASTRCAN","X"
"150","ASTRCOL","TD1"
"151","ASTREUC","X"
"152","ASTRFIL","TD0"
"153","ASTRLOT","TD0"
"154","ASTRMIS","TD2"
"155","ASTRPUR","TD0"
"156","ASTRROB",""
"157","ASTRTEN","TD0"
"158","ASTRVEX",""
"159","ATHYALP",""
