,Species,SMR_Ind,Exceptions
1,ABIEABI,TD3,
2,ABIEAMA,M,F
3,ABIEBAL,X,
4,ABIEGRA,X,
5,ABIELAS,X,
6,ABIES,X,
7,ACARFUS,TD2,
8,ACARGLA,TD4,
9,ACAROSO,TD0,
10,ACAROSP,TD1,
11,ACARSCH,TD0,
12,ACER,TD3,
13,ACERCIR,X,
14,ACERGLA,TD4,
15,ACERMAC,X,
16,ACERNEG,F,
17,ACHIALI,W,
18,ACHILLE,TD2,
19,ACHIMIL,TD3,
20,ACHLTRI,X,
21,ACHNLEM,TD2,
22,ACHNNEL,TD2,
23,ACHNOCC,TD2,
24,ACHNRIC,TD3,
25,ACMIAME,,
26,ACMIDEN,TD1,
27,ACMIMIC,TD3,
28,ACONCOL,M,
29,ACONDEL,,
30,ACONITU,,
31,ACTAEA,X,
32,ACTARUB,X,
33,ADENBIC,X,
34,ADENOCA,TD4,
35,ADIAALE,M,
36,ADIACAP,F,
37,ADIANTU,X,
38,ADOXMOS,X,
39,AGASURT,TD3,
40,AGOSAUR,,
41,AGOSERI,TD3,
42,AGOSGLA,TD3,
43,AGOSGRA,TD2,
44,AGOSHET,TD0,
45,AGOSLAC,,
46,AGRIGRY,M,
47,AGRISTR,W,
48,AGROCAP,X,
49,AGROCRI,TD2,
50,AGROEXA,W,
51,AGROFRA,TD4,
52,AGROGIG,X,
53,AGROIDA,X,
54,AGROMER,TD3,
55,AGROORE,,
56,AGROPAL,,
57,AGROPYR,X,
58,AGROSCA,X,
59,AGROSTI,X,
60,AGROSTO,X,
61,AGROVAR,,
62,AHTISPH,F,
63,AIRACAR,TD2,
64,AIRAPRA,TD2,
65,ALECOCH,,
66,ALECSAR,X,
67,ALECTOR,,
3408,ALISMAT,,
68,ALISTRI,W,
69,ALLAALP,,
70,ALLIACU,TD0,
71,ALLICER,TD2,
72,ALLICRE,,
73,ALLISCH,,
74,ALLIUM,TD2,
75,ALLOTRO,F,
76,ALLOVIR,X,
77,ALNUINC,X,
78,ALNURUB,X,
79,ALNUS,X,
80,ALNUVIR,X,
81,ALOPAEQ,W,
82,ALOPCAR,F,
83,ALOPECU,X,
84,ALOPGEN,W,
85,ALOPPRA,X,
86,ALYSALY,TD0,
87,ALYSDES,TD1,
88,AMBLSER,X,
89,AMBLYSE,X,
90,AMBLYST,W,
91,AMBRCHA,TD4,
92,AMELALN,TD3,
93,AMELANC,TD4,
94,AMELCUS,TD4,
95,AMMANNI,W,
96,AMMOARE,TD4,
97,AMPHLAP,,
98,AMPHNEV,X,
99,AMSIINT,TD1,
100,AMSILYC,TD2,
101,AMSINCK,TD0,
102,ANACMEN,TD0,
103,ANAPHAL,X,
104,ANAPMAR,X,
105,ANASTRO,,
106,ANDRBLY,F,
107,ANDRCHA,,
108,ANDREAE,X,
109,ANDRMEG,TD0,
110,ANDRNIV,,
111,ANDROME,M,
112,ANDRPOL,W,
113,ANDRRUP,TD3,
114,ANDRSEP,TD2,
115,ANEMCYL,TD3,
116,ANEMDRU,,
117,ANEMLYA,X,
118,ANEMMUL,TD3,
119,ANEMNAR,,
120,ANEMONE,X,
121,ANEMPAR,,
122,ANEORIC,W,
123,ANEOSIB,,
124,ANEUPIN,W,
125,ANGEARG,M,
126,ANGEDAW,X,
127,ANGEGEN,W,
128,ANGELIC,X,
129,ANGELUC,W,
130,ANISMAD,X,
131,ANOMFIL,W,
132,ANTEANA,TD2,
133,ANTEDEN,,
134,ANTEDIM,TD0,
135,ANTEHOW,TD3,
136,ANTELAN,,
137,ANTELUZ,TD2,
138,ANTEMED,,
139,ANTEMIC,TD2,
140,ANTEMON,,
141,ANTENEG,TD3,
142,ANTENNA,TD2,
143,ANTEPAR,TD2,
144,ANTEPUL,X,
145,ANTERAC,TD3,
146,ANTEROS,TD2,
147,ANTEUMB,TD2,
148,ANTHELI,,
149,ANTHHIR,W,
150,ANTHJUL,,
151,ANTHJUR,,
152,ANTHMON,,
153,ANTHODO,TD2,
154,ANTICAL,TD0,
155,ANTICUR,M,
156,ANTIELE,TD4,
157,ANTIOCC,X,
158,ANTITRI,M,
159,AONGLON,M,
160,APERINT,TD2,
161,APHRESC,,
162,APIACEA,X,
163,APOCAND,TD2,
164,APOCCAN,TD3,
165,APOCYNU,TD2,
166,APOMPUB,F,
167,AQUIBRE,X,
168,AQUIFLA,F,
169,AQUIFOR,X,
170,AQUILEG,X,
171,ARABHOL,TD1,
172,ARABIDO,W,
173,ARABIS,TD2,
174,ARABLYT,,
175,ARABNUT,X,
176,ARABTHA,,
177,ARALIA,TD4,
178,ARALNUD,X,
179,ARBUMEN,TD2,
180,ARCEAME,,
181,ARCTAGR,,
182,ARCTALI,X,
183,ARCTARC,M,
184,ARCTCEN,M,
185,ARCTCOL,TD2,
186,ARCTCOO,,
187,ARCTEMI,W,
188,ARCTIUM,F,
189,ARCTLAP,X,
190,ARCTLAT,,
191,ARCTMIN,TD4,
192,ARCTOMI,,
193,ARCTOST,X,
194,ARCTRBR,X,
195,ARCTSUB,,
196,ARCTUVA,TD3,TD2
197,ARENARI,X,
198,ARENLON,,
199,ARENSER,TD1,
200,ARISPUR,TD0,
201,ARISTID,TD2,
202,ARMEMAR,TD4,
203,ARMORUS,M,
204,ARNIANG,,
205,ARNICA,X,
206,ARNICHA,X,
207,ARNICOR,X,
208,ARNIFUL,TD1,
209,ARNIGRA,TD4,
210,ARNIGRI,,
211,ARNILAN,X,
212,ARNILAT,,F
213,ARNILES,,
214,ARNILON,W,
215,ARNIMOL,,
216,ARNIOVA,,
217,ARNIPAR,,
218,ARNIRYD,,
219,ARNISOR,TD3,
220,ARTEABS,,
221,ARTEBOR,TD3,
222,ARTECAM,TD1,
223,ARTEDRA,TD1,
224,ARTEFRI,TD0,
225,ARTEFUR,TD3,
226,ARTELIN,,
227,ARTELUD,TD1,
228,ARTEMIC,TD1,
229,ARTEMIS,X,
230,ARTENOR,,
231,ARTESUK,M,
232,ARTETIL,X,
233,ARTETRI,TD0,
234,ARTETRP,TD1,
235,ARTHCIT,,
236,ARTHGLE,TD2,
237,ARTHROR,TD1,
238,ARUNCUS,M,
3409,ARUNDIO1,M,
239,ASARCAU,X,
240,ASCLSPE,TD0,
241,ASPAOFF,TD2,
242,ASPICAE,TD3,
243,ASPICIN,,
244,ASPIDEN,TD4,
245,ASPIREP,TD2,
246,ASPLENI,F,
247,ASPLTRI,X,
248,ASPLVIR,X,
249,ASTEALP,X,
250,ASTER,X,
251,ASTERAC,X,
252,ASTRAGA,TD2,
253,ASTRAGR,TD2,
254,ASTRALP,,
255,ASTRAME,X,
256,ASTRAUS,TD4,
257,ASTRBEC,TD0,
258,ASTRBOU,,
259,ASTRCAN,X,
260,ASTRCIC,,
261,ASTRCOL,TD1,
262,ASTREUC,X,
263,ASTRFIL,TD0,
264,ASTRLAX,,
265,ASTRLEN,TD0,
266,ASTRLOT,TD0,
267,ASTRMIC,TD4,
268,ASTRMIS,TD2,
269,ASTRPUR,TD0,
270,ASTRROB,,
271,ASTRSCL,TD0,
272,ASTRTEN,TD0,
273,ASTRUMB,,
274,ASTRVEX,,
275,ATHYALP,,
276,ATHYFIL,M,
277,ATHYPUS,TD3,
278,ATHYRIU,W,
279,ATRICHU,X,
280,ATRIPAT,X,
281,ATRIPLE,TD0,
282,ATRISEL,X,
283,ATRITEN,X,
284,ATRITRU,W,
285,ATRIUND,X,
286,AULAACU,W,
287,AULAAND,TD3,
288,AULACOM,X,
289,AULACON,,
290,AULAPAL,W,M
291,AULATUR,,
292,AVENFAT,TD3,
293,BACIDIA,TD3,
294,BAEORUF,X,
295,BALSAMI,TD3,
296,BALSSAG,TD1,
297,BARBARE,F,
298,BARBBAR,X,
299,BARBCON,TD3,
300,BARBHAT,TD4,
301,BARBILO,X,
302,BARBLYC,X,
303,BARBORT,,
304,BARBULA,X,
305,BARBVUL,M,
306,BARTITH,,
307,BARTLES,F,
308,BARTPOM,X,
309,BARTRAM,F,
310,BASSSCO,TD0,
311,BAZZAMB,M,
312,BAZZANI,,
313,BAZZDEN,M,
314,BAZZPEA,X,
315,BAZZTRI,M,
316,BAZZTRL,W,
317,BECKSYZ,W,
318,BELLPER,TD3,
319,BERBAQU,TD3,
320,BERBERI,TD3,
321,BERBNER,TD4,
322,BERBREP,TD4,
323,BERTINC,TD2,
324,BETUALL,TD4,
325,BETUGLA,M,X
326,BETULA,X,
327,BETULX,X,
328,BETUNEO,X,
329,BETUOCC,X,
330,BETUPAP,X,
331,BETUPEN,M,
332,BETUPUB,M,
333,BETUPUM,W,
334,BIDECER,W,
335,BISTBIS,,
336,BISTORT,,
337,BISTVIV,,F
338,BLECHNU,F,
339,BLECSPI,M,
340,BLEPARA,F,
341,BLEPHAR,M,
342,BLEPTRI,M,
343,BOECCAL,,
344,BOECDIV,TD3,
345,BOECDRE,,
346,BOECHER,TD4,
347,BOECLEM,,
348,BOECLYA,,
349,BOECMIC,TD4,
350,BOECPEN,TD1,
351,BOECRET,TD0,
352,BOECSPA,TD1,
353,BOECSTR,TD3,
354,BOLBMAR,X,
355,BORAGIN,TD0,
356,BORAGO,TD2,
357,BOSCHNI,,
358,BOSCROS,,
359,BOTRASC,,
360,BOTRHES,TD4,
361,BOTRLAN,X,
362,BOTRLUN,X,
363,BOTRMIN,M,
364,BOTRPIN,,
365,BOTRVIG,X,
366,BOTRYCH,,
367,BOUTGRA,TD3,
368,BOYKINI,F,
369,BOYKOCC,W,
370,BRACACT,TD4,
371,BRACALB,TD3,
372,BRACCAL,F,
373,BRACCAM,X,
374,BRACCOL,TD3,
375,BRACERY,X,
376,BRACFRI,X,
377,BRACGRO,M,
378,BRACHOL,X,
379,BRACHYD,X,
380,BRACHYH,X,
381,BRACHYL,X,
382,BRACHYT,X,
383,BRACLEI,X,
384,BRACNEL,M,
385,BRACOED,X,
386,BRACOXY,F,
387,BRACPLU,X,
388,BRACPOP,TD3,
389,BRACREF,M,
390,BRACRIV,M,
391,BRACRUT,X,
392,BRACSAL,X,
393,BRACSTA,F,
394,BRACTUR,,
395,BRACVEL,X,
396,BRASENI,TD3,
397,BRASSCH,,
398,BRASSIA,X,
399,BRASSIC,X,
400,BRODCOR,,
401,BRODIAE,TD2,
402,BROMBRI,TD0,
403,BROMCAR,TD4,
404,BROMCIL,X,
405,BROMCOM,TD1,
406,BROMHOR,TD2,
407,BROMINE,TD4,
408,BROMJAP,TD1,
409,BROMPAC,X,
410,BROMPOR,,
411,BROMPUM,TD4,
412,BROMRAC,TD3,
413,BROMSIT,X,
414,BROMSQU,TD2,
415,BROMSTE,TD2,
416,BROMTEC,TD0,
417,BROMUS,X,
418,BROMVUL,X,
419,BROTROE,,
420,BRYACEA,,
421,BRYOCAP,F,
422,BRYOCAU,,
423,BRYOCHA,,
424,BRYODIV,,
425,BRYOFRE,X,
426,BRYOFUS,,
427,BRYOGLA,TD4,
428,BRYOLAN,F,
429,BRYONIT,TD4,
430,BRYONOA,,
431,BRYOREC,TD3,
432,BRYORIA,X,
433,BRYUALG,,
434,BRYUALP,,
435,BRYUARC,,
436,BRYUARG,TD2,
437,BRYUCAE,TD2,
438,BRYUCAL,W,
439,BRYUCAP,X,
440,BRYUM,X,
441,BRYUMIN,,
442,BRYUMUE,TD2,
443,BRYUPAL,,
444,BRYUPSE,W,
445,BRYUSCH,,
446,BRYUULI,W,
447,BRYUWEI,W,
448,BUCKUND,M,
449,BUELELE,,
450,BUELLIA,TD3,
451,BUELPAP,TD1,
452,BUGLARV,TD0,
453,BUXBAPH,TD2,
454,BUXBAUM,TD2,
455,BUXBPIP,X,
456,BUXBVIR,TD4,
457,CACANAR,TD2,
3410,CAKIEDE1,TD4,
3411,CAKIMAR1,TD4,
458,CALACAN,X,
459,CALALAP,,
460,CALALON,,
461,CALAMAG,X,
462,CALAMON,TD3,
463,CALANUT,M,X
464,CALAPUR,TD3,TD2
465,CALARUB,TD3,
466,CALASES,,
467,CALASTR,X,
468,CALIABI,TD2,
469,CALIVIR,TD4,
470,CALLA,TD4,
471,CALLCOR,W,
472,CALLCUS,W,
473,CALLGIG,W,VW
474,CALLHER,,
475,CALLHET,W,
476,CALLICL,W,
477,CALLIEG,W,
478,CALLITR,,
479,CALLPAL,W,VW
480,CALLPAU,,
481,CALLRIC,W,
482,CALLSTA,W,
483,CALLSTR,W,
484,CALOAPI,TD3,
485,CALOCHO,TD2,
486,CALODEC,TD1,
487,CALOMAC,TD1,
488,CALOPLA,TD0,
489,CALTHA,W,
490,CALTLEP,W,
491,CALTPAL,X,
492,CALYAZU,M,
493,CALYBUL,X,
494,CALYINT,M,
495,CALYMUE,,
496,CALYNEE,X,
497,CALYPOG,M,
498,CALYPSO,W,
499,CALYPTR,M,
500,CALYSEP,TD4,
501,CALYSPH,W,
502,CALYSUE,M,
503,CAMALEI,TD2,
504,CAMAQUA,TD2,
505,CAMASSI,TD2,
506,CAMELIN,TD0,
507,CAMEMIC,TD0,
508,CAMESAT,TD0,
509,CAMPANU,X,
510,CAMPATR,W,
511,CAMPAUR,,
512,CAMPCHY,X,
513,CAMPFLE,M,
514,CAMPFRA,F,
515,CAMPHAE,X,
516,CAMPHIP,X,
517,CAMPLAS,,
518,CAMPPER,TD4,
519,CAMPPRO,,
520,CAMPRAD,W,
521,CAMPROT,TD3,
522,CAMPSCO,TD4,
523,CAMPSTE,W,
524,CAMPUNI,,
525,CAMPYLI,X,
526,CAMPYLO,M,
527,CANAMOD,X,
528,CANDAUR,TD3,
529,CANDELR,X,
530,CANDTER,TD0,
531,CANDVIT,TD2,
532,CAPRIFO,TD4,
533,CAPSBUR,TD3,
534,CARDAMI,W,
535,CARDANG,W,
536,CARDARI,,
537,CARDBEL,,
538,CARDBRE,F,
539,CARDCOR,W,
540,CARDNUT,X,
541,CARDOCC,W,
542,CARDOLI,M,
543,CARDPAR,TD3,
544,CARDPEN,W,
545,CARDPRA,W,
546,CARDUMB,M,
547,CARDUUS,X,
548,CAREALB,,
549,CAREAMP,W,
550,CAREANT,W,
551,CAREAPE,M,
552,CAREAQU,W,
553,CAREARC,M,
554,CAREATA,,
555,CAREATH,W,
556,CAREATO,F,
557,CAREATR,,
558,CAREAUR,X,
559,CAREBEB,X,
560,CAREBIC,,
561,CAREBIG,M,
562,CAREBOL,W,
563,CAREBRU,W,
564,CAREBRV,F,
565,CAREBUX,W,
566,CARECAI,,
567,CARECAN,W,
568,CARECAP,,
569,CARECHO,W,VW
570,CARECIR,W,
571,CARECOC,TD3,
572,CARECOI,X,
573,CARECOM,TD2,
574,CARECRA,,
575,CARECRW,F,
576,CARECUS,W,
577,CAREDEF,,
578,CAREDEW,X,
579,CAREDIA,W,VW
580,CAREDIS,W,
581,CAREDOU,X,
582,CAREDUR,X,
583,CAREEBU,X,
584,CAREECH,W,
585,CAREENA,,
586,CAREENG,W,
587,CAREEXS,W,VW
588,CAREFET,W,
3412,CAREFIL1,TD1,
589,CAREFLA,W,
590,CAREFOE,X,
591,CAREFUL,,
592,CAREGAR,W,
593,CAREGEY,,
594,CAREGLA,,
595,CAREGYN,W,
596,CAREHAY,X,
597,CAREHEL,,
598,CAREHEN,M,
599,CAREHIN,F,
600,CAREHOO,TD4,
601,CAREILL,W,
602,CAREINC,,
603,CAREINE,W,
604,CAREINF,W,
605,CAREINO,X,
606,CAREINT,W,
607,CAREKEL,W,VW
608,CAREKRA,F,
609,CARELAE,W,
610,CARELAH,,
611,CARELAP,W,
612,CARELAS,W,VW
613,CARELEN,W,VW
614,CARELEO,W,
615,CARELEP,W,
616,CARELET,W,
617,CARELIM,W,VW
618,CARELIV,W,
619,CARELOL,W,
620,CARELUZ,,
621,CARELYN,W,
622,CAREMAG,W,VW
623,CAREMAL,X,
624,CAREMAO,,
625,CAREMAR,TD4,
626,CAREMED,,
627,CAREMEM,,
628,CAREMER,M,
629,CAREMIC,,
630,CAREMIO,X,
631,CAREMIP,,
632,CAREMIR,W,
633,CARENAR,,
634,CARENIG,,
635,CAREOBN,W,VW
636,CAREOBT,TD3,
637,CAREPAC,X,
638,CAREPAL,W,
639,CAREPAN,W,
640,CAREPAR,W,
641,CAREPAU,W,
642,CAREPAY,,
643,CAREPEC,TD4,
644,CAREPED,F,
645,CAREPEL,W,
646,CAREPER,,
647,CAREPET,TD2,
648,CAREPHA,,
649,CAREPLU,W,
650,CAREPOD,,
651,CAREPRE,X,
652,CAREPRR,F,
653,CAREPRS,,
654,CAREPRT,X,
655,CARERAY,X,
656,CARERET,X,
657,CARERIC,TD3,
658,CAREROS,TD2,
659,CAREROT,W,
660,CARERUP,,
661,CARESAR,W,
662,CARESAX,W,VW
663,CARESCI,,
664,CARESCO,W,
665,CARESCP,W,
666,CARESIC,X,
667,CARESIM,F,
668,CARESIT,W,
669,CARESPE,,
670,CARESPR,F,
671,CARESTI,W,
672,CARESTY,W,
673,CARESUP,TD3,
674,CARESWA,,
675,CARESYC,W,
676,CARETAH,TD3,
677,CARETEN,W,
678,CARETON,TD2,
679,CARETRI,X,
680,CARETRS,W,
681,CAREUNI,,
682,CAREUTR,W,VW
683,CAREVAG,W,
684,CAREVAL,M,
685,CAREVES,W,
686,CAREVIR,M,
687,CAREX,X,
688,CAREXER,TD3,
689,CARYOPH,TD4,
690,CASSIOP,X,
691,CASSLYC,,
692,CASSMER,,
693,CASSTET,,
694,CASTATT,,
695,CASTCER,TD1,
696,CASTCUS,,
697,CASTHIS,TD2,
698,CASTILL,TD4,
699,CASTLEV,,
700,CASTLUT,TD2,
701,CASTMIN,X,
702,CASTOCC,,
703,CASTPAR,,
704,CASTRAU,TD4,
705,CASTRHE,,
706,CASTSEP,TD4,
707,CASTTEN,W,
708,CASTTHO,TD1,
709,CASTUNA,,
710,CATAAQU,M,
711,CATAPYR,TD1,
712,CATASQA,TD0,
713,CATILLA,F,
714,CATONIG,W,
715,CEANOTH,TD3,
716,CEANSAN,TD2,
717,CEANVEL,TD3,
718,CENTAUI,TD2,
719,CENTAUR,TD0,
720,CENTCYA,TD2,
721,CENTDIF,TD0,
722,CENTSTO,TD1,
723,CEPHALO,X,
724,CEPHALZ,TD1,
725,CEPHDIV,X,
726,CEPHRUB,,
727,CERAARV,TD3,
728,CERABEE,,
729,CERADEM,,
730,CERAFAL,TD1,
731,CERAFIS,TD3,
732,CERAFON,X,
733,CERAGLO,,
734,CERANUT,TD4,
735,CERAPUR,TD2,
736,CERASEM,TD1,
737,CERASTI,X,
738,CERATOD,TD3,
739,CETRARE,,
740,CETRARI,TD4,
741,CETRCET,,
742,CETRCIL,,
743,CETRDEL,,
744,CETRELI,,
745,CETRERI,TD3,
746,CETRISL,TD4,
747,CETRLAE,TD4,
748,CETRNIG,,
749,CETRSUB,X,
750,CHAEDOU,TD0,
751,CHAMAEC,M,
752,CHAMANG,X,
753,CHAMCAL,W,
754,CHAMLAT,,
755,CHARA,W,VW
756,CHENALB,TD2,
757,CHENATR,W,
758,CHENDES,X,
759,CHENFRE,TD0,
760,CHENGLA,F,
761,CHENOPD,TD2,
762,CHENOPO,TD1,
763,CHENRUB,TD2,
764,CHEOSIM,TD3,
765,CHEROBT,,
766,CHILOSC,M,
767,CHILPAL,W,
768,CHILPOL,W,
769,CHIMAPH,M,
770,CHIMMEN,X,
771,CHIMUMB,TD4,
772,CHORISP,TD4,
773,CHRYCAN,,
774,CHRYCHL,TD3,
775,CHRYSOS,W,
776,CHRYSOT,X,
777,CHRYTET,W,
778,CHRYWRI,,
779,CICHINT,TD2,
780,CICUBUL,W,VW
781,CICUDOU,W,VW
782,CICUMAU,W,
783,CICUTA,W,
784,CINCLID,,
785,CINCSTY,W,
786,CINCSUB,,
787,CINNA,X,
788,CINNLAT,M,
789,CIRCAEA,,
790,CIRCALP,M,
791,CIRRCIR,M,
792,CIRSARV,X,
793,CIRSBRE,TD0,
794,CIRSDRU,,
795,CIRSEDU,X,
796,CIRSFOL,M,
797,CIRSHOO,TD3,
798,CIRSIUM,X,
799,CIRSPAL,M,
800,CIRSUND,TD1,
801,CIRSVUL,X,
802,CLADACU,X,
803,CLADALB,TD3,
804,CLADAMA,TD4,
805,CLADARB,TD3,
806,CLADBAI,TD3,
807,CLADBEL,X,
808,CLADBOE,TD1,
809,CLADBOY,X,
810,CLADCAI,TD1,
811,CLADCAN,TD4,
812,CLADCEN,TD3,
813,CLADCER,TD1,
814,CLADCHL,TD3,
815,CLADCIL,W,
816,CLADCOC,TD2,
817,CLADCOI,,
818,CLADCON,X,
819,CLADCOR,TD4,
820,CLADCRI,TD3,
821,CLADCYA,TD2,
822,CLADDEC,X,
823,CLADDEF,TD3,
824,CLADDIG,X,
825,CLADECM,TD4,
826,CLADFIM,TD2,
827,CLADFUR,X,
828,CLADGRA,TD3,
829,CLADHOM,TD4,
830,CLADINA,TD3,
831,CLADMAC,X,
832,CLADMAE,TD4,
833,CLADMAO,TD1,
834,CLADMER,X,
835,CLADMET,X,
836,CLADMIT,TD4,
837,CLADMUL,TD3,
838,CLADNOR,X,
839,CLADNOV,,
840,CLADOCH,X,
841,CLADONA,TD4,
842,CLADONI,TD3,
843,CLADPAR,X,
844,CLADPHY,TD2,
845,CLADPLE,X,
846,CLADPOC,TD2,
847,CLADPOR,X,
848,CLADPSE,W,
849,CLADPYX,TD2,
850,CLADRAN,X,
851,CLADREI,TD0,
852,CLADSCA,X,
853,CLADSCH,,
854,CLADSIN,F,
855,CLADSQU,X,
856,CLADSTE,X,
857,CLADSTI,TD2,
858,CLADSTY,X,
859,CLADSUF,X,
860,CLADSUL,TD4,
861,CLADSUU,TD2,
862,CLADSYM,TD0,
863,CLADTRA,X,
864,CLADUMB,X,
865,CLADUNC,X,
866,CLADVER,TD3,
867,CLADWAN,X,
868,CLAOBOL,X,
869,CLAOCRI,X,
870,CLAOPOD,X,
871,CLAOWHI,,
872,CLARPUL,TD0,
873,CLAVARI,W,
874,CLAYCOR,M,
875,CLAYLAN,,
876,CLAYMEG,,
877,CLAYPAR,TD2,
878,CLAYPER,X,
879,CLAYRUB,TD0,
880,CLAYSAR,,
881,CLAYSIB,M,
882,CLAYTON,X,
883,CLAYWAS,TD2,
884,CLEMATI,TD4,
885,CLEMLIG,TD2,
886,CLEMOCC,TD4,
887,CLIMACI,M,
888,CLIMDEN,W,
889,CLINDOU,TD3,
890,CLINTON,TD4,
891,CLINUNI,X,
892,COCHGRO,W,
893,COELACU,TD0,
894,COELOCA,,
895,COELOGL,,
896,COELVIR,X,
897,COLLCER,,
898,COLLEMA,TD1,
899,COLLGRD,TD1,
900,COLLGRN,TD2,
901,COLLHET,TD2,
902,COLLINS,X,
903,COLLLIN,TD1,
904,COLLOMI,TD2,
905,COLLPAR,TD1,
906,COLLTEN,TD0,
907,COLLUND,TD0,
908,COMANDR,TD2,
909,COMAPAU,W,
910,COMAUMB,TD1,
911,CONACOM,X,
912,CONIGME,X,
913,CONIMAC,F,
914,CONOCEP,W,
915,CONOTET,,
916,COPTASP,M,
917,COPTIS,X,
918,COPTLAP,W,
919,COPTTRI,W,
920,CORALLO,TD4,
921,CORAMAC,X,
922,CORAMER,X,
923,CORASTR,TD4,
924,CORATRI,X,
925,CORELAN,F,
926,CORNACE,TD4,
927,CORNCAN,X,
928,CORNICU,X,
929,CORNNOR,,
930,CORNNUT,X,
931,CORNSTO,X,
932,CORNSUE,F,
933,CORNUNA,X,
934,CORNUS,M,
935,CORYAUR,TD0,
936,CORYCOR,TD3,
937,CORYDAL,TD3,
938,CORYLUS,TD2,
939,CORYPAU,,
940,CORYSCO,M,
941,CORYSEM,TD2,
942,COSCCAL,TD0,
943,CRASSUL,W,
944,CRATAEG,X,
945,CRATDOU,X,
946,CRATFIL,,
3413,CRATMON1,W,
947,CRATONE,W,
948,CREPATR,TD1,
949,CREPCAP,TD3,
950,CREPINT,TD0,
951,CREPIS,TD2,
952,CREPOCC,TD1,
953,CREPRUN,TD2,
954,CREPTEC,TD2,
955,CROSSID,TD2,
956,CRYPACR,TD2,
957,CRYPAFF,TD0,
958,CRYPCAS,X,
959,CRYPSIT,X,
960,CRYPSTE,,
961,CRYPTAN,TD2,
962,CRYPTOG,TD4,
