"","PlotNumber","Var.2","F","M","TD0","TD1","TD2","TD3","TD4","VW","W","X","NA","BGC_noSpace","BGC_LABEL","BGC_Zone","rSMR","aSMRC","aSMRE","aSMR_Veg","11SiteSeries"
"1","$812071",0.5,0,0,0,1,3.5,51,49,0,0,65,0,"ICHdw1","ICH dw 1","ICH ","2",2.5,2,"3MD","ICH dw 1 /01a"
"2","$812072",0,0,0.5,0,0,0.5,14,14.5,0,0,130,0,"ICHdw1","ICH dw 1","ICH ","3",3,3,"3MD","ICH dw 1 /01a"
"3","$812074",0,1,0,0,1,2,14,118,0,0.5,108,0,"ICHdw1","ICH dw 1","ICH ","2",2.5,2,"4SD","ICH dw 1 /01a"
"4","%780453",0,0.5,2,0,0,0,8.5,18.5,0,0,183,0,"PPdh2","PP  dh 2","PP  ","4",NA,NA,"4SD","ICH mk 1 /01"
"5","%796961",0,3.5,0.5,0,0,0,5,44.5,0,0,111.5,0,"MSdk1","MS  dk 1","MS  ","4",NA,NA,"4SD","MS  dk 1 /101"
"6","%801752",0,83,2.5,0,0,0.5,0,6,0,0.5,40.5,0,"ESSFdk1","ESSFdk 1","ESSF","4",5,5,"5F","ESSFdk 1 /101"
"7","%801756",0,105,0,0,0,0,4.5,10.5,0,0,69.5,0,"ESSFdk1","ESSFdk 1","ESSF","4",5,5,"4SD","ESSFdk 1 /101"
"8","%801763",0.5,8,0.5,0,0,0.5,6,31.5,0,0,91,0,"MSdk1","MS  dk 1","MS  ","4",NA,NA,"4SD","MS  dk 1 /101"
"9","%801775",0,2,3.5,0,0,0,0.5,2.5,0,0,102.5,0,"ESSFdk1","ESSFdk 1","ESSF","4",5,5,"5F","ESSFdk 1 /101"
"10","%801780",0,15.5,3,0,0,0,3,11.5,0,0,98.5,0,"MSdk1","MS  dk 1","MS  ","4",NA,NA,"5F","MS  dk 1 /101"
"11","?791117",0,0,0,0,2,66.5,21,1.5,0,0,42,2.5,"PPdh2","PP  dh 2","PP  ","4",NA,NA,"2VD","PP  dh 2 /101"
"12","?791118",0,0,0,0,1,2.5,22.5,28,0,0,35,0,"IDFdm2","IDF dm 2","IDF ","3",2.5,2,"3MD","IDF dm 2 /101"
"13","?791119",0,0,0,2,52,8.5,3.5,0,0,0,4,0,"IDFdm2","IDF dm 2","IDF ","2",2,2,"1ED","IDF dm 2 /101"
"14","?801806",0,0,0,0,0.5,1,52.5,54.5,0,0.5,47.5,1,"IDFdm2","IDF dm 2","IDF ","4",3,3,"3MD","IDF dm 2 /101"
"15","?801809",0,0,0,0,1,10,78.5,18,0,0,18.5,0,"IDFdm2","IDF dm 2","IDF ","3",2.5,2,"3MD","IDF dm 2 /101"
"16","?801814",0,0,0,0,2,17,45.5,2,0,0,27.5,0,"IDFdm2","IDF dm 2","IDF ","4",3,3,"3MD","IDF dm 2 /101"
"17","0001779",0.5,19.5,8.5,0,0,0,0.5,11,0,0,133,0,"ICHmm","ICH mm","ICH ","4",4.5,5,"5F","ESSFmm 1 /01"
"18","0002479",0,17,0,0,0,0,0,1,0,0,198,0,"ICHmm","ICH mm","ICH ","4",4.5,5,"5F","ESSFmm 1 /01"
"19","0003279",0,25.5,11,0,0,0,1.5,16,0,0,220,0,"ICHmm","ICH mm","ICH ","4",4.5,5,"6M","ESSFmm 1 /01"
"20","0004779",2,61,1,0,0,0,0.5,5,0,0,128,0,"ESSFmm1","ESSFmm 1","ESSF","4",5,5,"5F","ESSFmm 1 /01"
"21","000677",0,14,29,0,0,0,0,1,0,0,201,0,NA,NA,NA,NA,NA,NA,"6M","ICH wk 3 /01"
"22","0007179",0,35.5,1,0,0,0,0,2,0,0,182.5,0,"ESSFmm1","ESSFmm 1","ESSF","3",4,4,"5F","ESSFmm 1 /01"
"23","0007279",0,18.5,1,0,0,0,0,4.5,0,0,167.5,0,"ESSFmm1","ESSFmm 1","ESSF","3",4,4,"5F","ESSFmm 1 /01"
