"","SiteSeries","1ED","2VD","3MD","4SD","5F","6M","7VM","8W"
"1","BWBSdk   /101",0,0,0,43,52,2,0,0
"2","BWBSmc   /01",0,0,0,1,1,0,0,0
"3","BWBSmk   /101",0,0,0,37,63,1,0,0
"4","BWBSmw   /101",0,0,2,21,23,1,0,0
"5","BWBSwk 1 /101",0,0,1,7,3,0,0,0
"6","BWBSwk 2 /101",0,0,0,10,7,0,0,0
"7","BWBSwk 3 /101",0,0,0,1,6,0,0,0
"8","CDF mm   /01",0,0,1,6,2,0,0,0
"9","CWH dm   /01",0,0,0,15,26,6,0,0
"10","CWH ds 1 /01",0,0,1,18,2,0,0,0
"11","CWH ds 2 /01",0,0,1,2,8,0,0,0
"12","CWH mm 1 /01",0,0,0,0,7,0,0,0
"13","CWH mm 2 /01",0,0,0,1,14,7,0,0
"14","CWH ms 1 /01",0,0,1,13,21,1,0,0
"15","CWH ms 2 /01",0,0,0,1,26,2,0,0
"16","CWH vh 1 /01",0,0,0,0,1,2,0,0
"17","CWH vh 2 /01",0,0,0,0,5,44,11,0
"18","CWH vh 3 /101",0,0,0,0,20,107,3,1
"19","CWH vm 1 /01",0,0,0,0,60,59,0,0
"20","CWH vm 1a/01",0,0,0,0,4,0,0,0
"21","CWH vm 2 /01",0,0,0,0,20,27,0,0
"22","CWH wh 1 /101",0,0,0,0,61,46,0,0
"23","CWH wh 2 /101",0,0,0,0,14,66,0,0
"24","CWH wm   /01",0,0,0,0,15,32,0,0
"25","CWH ws 1 /01",0,0,0,4,27,5,0,0
"26","CWH ws 2 /01",0,0,0,1,84,14,0,0
"27","CWH xm 1 /01",0,0,0,8,8,2,0,0
"28","CWH xm 2 /01",0,0,2,20,25,1,0,0
"29","CWH xs   /01",0,0,0,5,0,0,0,0
"30","ESSF vcw  /01",0,0,0,19,28,18,0,0
"31","ESSFdc 1 /101",0,0,0,15,17,5,0,0
"32","ESSFdc 2 /101",0,0,1,24,14,2,0,0
"33","ESSFdc 3 /101",0,0,0,3,26,3,0,0
"34","ESSFdk 1 /101",0,0,0,6,14,1,0,0
"35","ESSFdk 2 /101",0,0,0,3,17,0,0,0
"36","ESSFdkw /101",0,0,2,26,4,0,0,0
"37","ESSFdm   /101",0,0,0,6,8,3,0,0
"38","ESSFdv 1 /101",0,0,0,23,3,0,0,0
"39","ESSFdv 2 /101",0,0,7,19,0,0,0,0
"40","ESSFdw   /101",0,0,0,6,17,2,0,0
"41","ESSFmc   /01",0,0,0,11,2,3,0,0
"42","ESSFmk   /01",0,0,0,3,1,3,0,0
"43","ESSFmm 1 /01",0,0,0,4,12,1,1,0
"44","ESSFmv 1 /01",0,0,0,7,10,0,0,0
"45","ESSFmv 2 /01",0,0,0,10,6,1,0,0
"46","ESSFmv 3 /01",0,0,0,15,21,0,0,0
"47","ESSFmv 4 /01",0,0,0,14,13,0,0,0
"48","ESSFmw 1 /101.1",0,0,0,3,7,1,0,0
"49","ESSFmw 1 /101.2",0,0,0,3,5,1,0,0
"50","ESSFmw 2 /101.1",0,0,0,12,5,2,0,0
"51","ESSFmw 2 /101.2",0,0,0,2,5,0,0,0
"52","ESSFmz   /01",0,0,0,0,5,1,0,0
"53","ESSFvc   /01",0,0,0,0,3,14,0,0
"54","ESSFwc 1 /101",0,0,0,0,11,24,0,0
"55","ESSFwc 2 /01",0,0,1,0,11,68,2,0
"56","ESSFwc 2/01",0,0,0,1,10,9,0,0
"57","ESSFwc 3 /01",0,0,1,0,4,15,3,2
"58","ESSFwc 4 /101",0,0,0,3,7,27,0,0
"59","ESSFwc 5 /101",0,0,1,8,8,9,0,0
"60","ESSFwc 6 /101",0,0,0,6,12,2,0,0
"61","ESSFwc 6 /103",0,0,0,1,0,0,0,0
"62","ESSFwcw  /101",0,0,0,10,22,6,0,0
"63","ESSFwk 1 /01",0,0,0,0,0,26,1,1
"64","ESSFwk 2 /01",0,0,0,0,0,11,1,0
"65","ESSFwm 1 /101",0,0,0,3,11,4,0,0
"66","ESSFwm 2 /101",0,0,0,0,9,12,0,0
"67","ESSFwm 4 /101",0,0,0,4,5,10,0,0
"68","ESSFwmw-ESSFdmw/101",0,0,0,19,6,0,0,0
"69","ESSFwv   /01",0,0,0,5,12,8,0,0
"70","ESSFxc 1 /101",0,0,0,11,1,0,0,0
"71","ESSFxc 2 /101",0,0,0,26,10,2,0,0
"72","ESSFxc 3 /101",0,0,1,10,2,0,0,0
"73","ESSFxv 1 /01",0,0,5,7,0,0,0,0
"74","ESSFxv 2 /01",0,0,6,13,1,0,0,0
"75","ICH dk   /01",0,0,0,9,0,0,0,0
"76","ICH dm   /101",0,0,0,7,4,0,0,0
"77","ICH dw 1 /01a",0,0,9,18,1,0,0,0
"78","ICH dw 1 /01b",0,0,2,8,0,0,0,0
"79","ICH dw 2 /01",0,0,0,6,0,0,0,0
"80","ICH dw 3 /101",0,0,0,17,2,7,0,0
"81","ICH mc 1 /01",0,0,0,9,26,2,0,0
"82","ICH mc 1a/01",0,0,0,0,2,0,0,0
"83","ICH mc 2 /01",0,0,1,29,112,7,0,0
"84","ICH mk 1 /01",0,0,7,38,5,1,0,0
"85","ICH mk 2 /101",0,0,4,24,8,2,0,0
"86","ICH mk 3 /01",0,0,0,15,2,1,0,0
"87","ICH mk 4 /101",0,0,1,11,2,0,0,0
"88","ICH mm   /01",0,0,0,1,4,2,0,0
"89","ICH mw 1 /01",0,0,0,7,4,0,0,0
"90","ICH mw 2 /101",0,0,0,9,8,1,0,0
"91","ICH mw 2k/101",0,0,0,49,10,1,0,0
"92","ICH mw 3 /101",0,0,0,25,10,1,0,0
"93","ICH mw 4 /101",0,0,0,13,6,1,0,0
"94","ICH mw 5 /01",0,0,1,16,3,1,0,0
"95","ICH mw 5 /101",0,0,0,11,2,0,0,0
"96","ICH vc   /011",0,0,0,0,0,7,0,0
"97","ICH vc   /012",0,0,0,0,0,6,0,0
"98","ICH vk 1 /01",0,0,0,0,0,34,1,1
"99","ICH vk 2 /01",0,0,0,0,0,24,0,2
"100","ICH wc   /01",0,0,0,0,6,3,0,0
"101","ICH wk 1 /101",0,0,0,2,7,56,0,0
"102","ICH wk 2 /01",0,0,0,2,2,22,0,0
"103","ICH wk 3 /01",0,0,0,0,2,20,0,0
"104","ICH wk 4 /01",0,0,0,0,2,18,0,0
"105","ICH xw   /101",1,0,7,11,1,0,0,0
"106","IDF dc /101.1",0,0,15,13,1,0,0,0
"107","IDF dc /101.2",0,0,10,0,0,0,0,0
"108","IDF dk 1 /101",0,0,76,4,0,0,0,0
"109","IDF dk 2 /101",0,1,77,10,0,0,0,0
"110","IDF dk 3 /01",0,0,12,0,0,0,0,0
"111","IDF dk 4 /01",0,1,17,2,1,0,0,0
"112","IDF dk 5 /101",0,0,54,34,3,0,0,0
"113","IDF dm 1 /101",0,0,20,0,0,0,0,0
"114","IDF dm 2 /101",1,0,47,4,0,0,0,0
"115","IDF dw   /01",0,0,14,1,0,0,0,0
"116","IDF mw 1 /101",0,0,23,35,1,0,0,0
"117","IDF mw 1 /101$6C.1",0,0,0,6,7,0,0,0
"118","IDF mw 2 /101",0,0,16,24,0,0,0,0
"119","IDF ww   /101",0,0,15,6,0,0,0,0
"120","IDF ww /101",0,0,7,0,0,0,0,0
"121","IDF ww 2 /01",0,0,4,2,0,0,0,0
"122","IDF xc /101",0,0,11,2,0,0,0,0
"123","IDF xh 1 /101",0,3,67,4,0,0,0,0
"124","IDF xh 2 /101",0,3,47,1,0,0,0,0
"125","IDF xh 4 /01",0,0,10,0,0,0,0,0
"126","IDF xk   /101",0,3,5,0,0,0,0,0
"127","IDF xm   /01",0,4,25,6,0,0,0,0
"128","IDF xw   /01",0,10,4,0,0,0,0,0
"129","MH  mm 1 /01",0,0,1,2,39,22,1,0
"130","MH  mm 2 /01",0,0,1,9,18,3,0,0
"131","MH  wh 2 /101",0,0,0,0,6,24,3,0
"132","MS  dc 1 /101",0,0,0,11,5,0,0,0
"133","MS  dc 2 /01",0,0,0,6,4,0,0,0
"134","MS  dc 3 /101",0,0,1,18,3,0,0,0
"135","MS  dk 1 /101",0,0,5,7,1,0,0,0
"136","MS  dk 2 /101",0,0,1,12,4,0,0,0
"137","MS  dm 1 /101",0,0,1,14,2,0,0,0
"138","MS  dm 2 /101",0,0,4,64,5,1,0,0
"139","MS  dm 3 /101.1",0,0,2,13,7,1,0,0
"140","MS  dm 3 /101.2",0,0,2,3,0,0,0,0
"141","MS  dv   /01",0,0,2,6,0,1,0,0
"142","MS  mw 1 /101",0,0,0,6,1,0,0,0
"143","MS  mw 2 /101",0,0,0,4,3,0,0,0
"144","MS  xk 1 /101a",0,0,8,0,0,0,0,0
"145","MS  xk 1 /101b",0,0,16,1,0,0,0,0
"146","MS  xk 2 /101",0,0,14,12,0,0,0,0
"147","MS  xk 3 /101",0,0,9,2,0,0,0,0
"148","MS  xv   /01",0,0,0,3,1,0,0,0
"149","MS  xv /01",0,0,19,37,4,0,0,0
"150","PP  dh 2 /101",0,6,5,0,0,0,0,0
"151","PP  xh 1 /101",2,28,0,0,0,0,0,0
"152","PP  xh 2 /101",1,12,0,0,0,0,0,0
"153","PP  xh 3 /101",1,8,0,0,0,0,0,0
"154","PP  xw /101",1,11,0,0,0,0,0,0
"155","SBPSdc   /01",0,0,14,4,0,0,0,0
"156","SBPSmc   /01",0,0,14,14,0,0,0,0
"157","SBPSmk   /01",0,0,32,4,1,1,0,0
"158","SBPSxc   /01",0,5,30,0,0,0,0,0
"159","SBS dh 1 /01",0,0,7,11,0,1,0,0
"160","SBS dk   /01",0,0,3,23,1,2,0,0
"161","SBS dw 1 /01",0,0,16,19,1,0,0,0
"162","SBS dw 2 /01",0,0,16,18,0,0,0,0
"163","SBS dw 3 /01",0,0,2,15,0,0,0,0
"164","SBS mc 1 /01",0,0,5,18,3,0,0,0
"165","SBS mc 2 /01",0,0,12,70,23,6,0,0
"166","SBS mc 3 /01",0,0,0,8,0,0,0,0
"167","SBS mh   /01",0,0,1,7,1,3,0,0
"168","SBS mk 1 /01",0,0,2,7,1,4,0,0
"169","SBS mk 2 /01",0,0,1,8,8,0,0,0
"170","SBS mm /101",0,0,0,32,9,0,0,0
"171","SBS mw   /01",0,0,2,20,1,2,0,0
"172","SBS un   /01",0,0,0,4,2,0,0,0
"173","SBS vk   /01",0,0,0,0,0,29,0,2
"174","SBS vv  /01",0,0,0,1,0,3,0,0
"175","SBS wk 1 /01",0,0,0,0,0,34,2,2
"176","SBS wk 2 /01",0,0,0,2,1,8,0,0
"177","SBS wk 3 /01",0,0,0,1,3,7,0,0
"178","SBS wk 3a/01",0,0,0,6,1,1,0,0
"179","SWB mk 1 /01",0,0,1,2,2,0,0,0
