"","BGC","rSMR0","rSMR1","rSMR2","rSMR3","rSMR4","rSMR5","rSMR6","rSMR7","Zone"
"1","BGxh1",0,0,0,0,0,0,0,0,"BG"
"2","BGxh2",0,0,0,0,0,0,0,0,"BG"
"3","BGxh3",0,0,0,0,0,0,0,0,"BG"
"4","BGxw1",0,0,0,0,-1,0,0,0,"BG"
"5","BGxw2",0,0,0,0,-1,0,0,0,"BG"
"6","BWBSdk",0,0,0,0,0,0,0,0,"BWBS"
"7","BWBSmk",0,0,0,0,0,0,0,0,"BWBS"
"8","BWBSmw",0,1,0,0,1,0,0,0,"BWBS"
"9","BWBSwk1",0,0,0,0,0,0,0,0,"BWBS"
"10","BWBSwk2",0,0,0,0,0,0,0,0,"BWBS"
"11","BWBSwk3",0,0,0,0,0,0,0,0,"BWBS"
"12","CDFmm",0,0,0,0,0,-1,-1.5,0,"CDF"
"13","CWHdm",0,0,0,0,0,0,0,0,"CWH"
"14","CWHds1",0,0,0,0,0,0,0,0,"CWH"
"15","CWHds2",0,0,0,0,0,0,0,0,"CWH"
"16","CWHmm1",0,1,0,0,0,0,0,0,"CWH"
"17","CWHmm2",0,1,0,0,0,0,0,0,"CWH"
"18","CWHms1",0,0,0,0,0,0,0,0,"CWH"
"19","CWHms2",0,0,0,0,0,0,0,0,"CWH"
"20","CWHvh1",1,0,0,0,0,0,0,0,"CWH"
"21","CWHvh2",1,0,0,0,0,0,0,0,"CWH"
"22","CWHvm1",0,0,0,0,-1,0,0,0,"CWH"
"23","CWHvm2",0,0,0,0,-1,0,-1,0,"CWH"
"24","CWHwh1",1,0,0,0,0,0,0,0,"CWH"
"25","CWHwh2",1,0,0,0,0,0,-1,0,"CWH"
"26","CWHwm",1.5,0,0,0,0,0,0,0,"CWH"
"27","CWHws1",0,0,0,0,0,0,0,0,"CWH"
"28","CWHws2",0,0,0,0,0,0,0,0,"CWH"
"29","CWHxm1",0,0,0,0,0,0,0,0,"CWH"
"30","ESSFdc1",0,0,-1,0,0,0,0,0,"ESSF"
"31","ESSFdc2",0,0,0,0,0,0,0,0,"ESSF"
"32","ESSFdk1",0,0,0,0,0,0,0,0,"ESSF"
"33","ESSFdk2",0,0,0,0,0,0,0,0,"ESSF"
"34","ESSFdv1",0,0,0,0,0,0,0,0,"ESSF"
"35","ESSFmc",0,0,0,0,0,0,0,0,"ESSF"
"36","ESSFmk",0,0,0,0,0,0,0,0,"ESSF"
"37","ESSFmm1",0,0,0,0,0,0,0,0,"ESSF"
"38","ESSFmv1",0,1,1,0,1,0,0,0,"ESSF"
"39","ESSFmv2",0,0,0,0,0,0,0,0,"ESSF"
"40","ESSFmv3",0,0,0,0,0,0,0,0,"ESSF"
"41","ESSFmv4",0,0,0,0,0,0,0,0,"ESSF"
"42","ESSFmw",0,0,0,0,0,0,0,0,"ESSF"
"43","ESSFmw1",0,0,0,0,0,0,0,0,"ESSF"
"44","ESSFmw2",0,0,0,0,0,0,0,0,"ESSF"
"45","ESSFvc",0,0,0,0,0,0,0,0,"ESSF"
"46","ESSFwc2",0,0,0,0,0,0,0,0,"ESSF"
"47","ESSFwc3",0,0,0,0,0,0,-1,0,"ESSF"
"48","ESSFwc4",0,0,0,0,0,0,0,0,"ESSF"
"49","ESSFwh1",0,0,0,0,0,0,0,0,"ESSF"
"50","ESSFwh3",0,0,0,0,0,0,0,0,"ESSF"
"51","ESSFwk1",0,0,0,0,0,0,0,0,"ESSF"
"52","ESSFwk2",0,0,0,0,0,0,0,0,"ESSF"
"53","ESSFwm1",0,0,0,0,0,0,0,0,"ESSF"
"54","ESSFwm3",0,0,0,0,0,0,0,0,"ESSF"
"55","ESSFwm4",0,0,0,0,0,0,0,0,"ESSF"
"56","ESSFwv",0,0,0,0,0,0,0,0,"ESSF"
"57","ESSFxc1",0,0,0,0,0,0,0,0,"ESSF"
"58","ESSFxv1",0,0,0,0,0,0,0,0,"ESSF"
"59","ICHdk",0,0,-1,0,0,0,0,0,"ICH"
"60","ICHdm",0,0,0,0,1,0,0,0,"ICH"
"61","ICHdw1",1,0,0,0,0,1,0,0,"ICH"
"62","ICHmc1",-1,0,0,-1,-1,0,0,0,"ICH"
"63","ICHmc2",0,0,0,0,0,0,0,0,"ICH"
"64","ICHmk1",0,1,0,0,0,0,0,0,"ICH"
"65","ICHmk2",0,0,0,0,0,0,0,0,"ICH"
"66","ICHmk3",0,0,0,0,0,0,0,0,"ICH"
"67","ICHmk4",0,0,0,0,0,0,0,0,"ICH"
"68","ICHmm",0,0,0,0,0,0,0,0,"ICH"
"69","ICHmw1",0,0,0,0,0,0,0,0,"ICH"
"70","ICHmw2",0,0,0,0,0,0,0,0,"ICH"
"71","ICHmw3",0,0,0,0,0,0,0,0,"ICH"
"72","ICHmw4",-1,0,-1.5,-1,-1,0,-1,0,"ICH"
"73","ICHvc",0,0,-1,0,0,0,-1,0,"ICH"
"74","ICHvk1",0,-1,-1,0,0,0,-1,0,"ICH"
"75","ICHvk2",0,0,-1,-1,0,0,-1,0,"ICH"
"76","ICHwc",0,0,0,0,0,0,0,0,"ICH"
"77","ICHwk1",-1,0,0,0,0,0,0,0,"ICH"
"78","ICHwk2",0,0,0,0,0,0,0,0,"ICH"
"79","ICHwk3",-1,-1,0,0,-1,0,-1,0,"ICH"
"80","ICHwk4",-1,-1,0,0,-1,0,-1,0,"ICH"
"81","ICHxw",1,0,0,0,0,1.5,1,0,"ICH"
"82","IDFdk1",0,0,0,-1,0,0,0,0,"IDF"
"83","IDFdk2",0,0,0,-1,0,0,0,0,"IDF"
"84","IDFdk3",0,0,0,0,0,1,0,0,"IDF"
"85","IDFdk4",0,1,0,0,0,1,0,0,"IDF"
"86","IDFdk5",0,0,0,0,0,1,0,0,"IDF"
"87","IDFdm1",0,1,0,0,0,1.5,0,0,"IDF"
"88","IDFdm2",0,1,0,0,0,1,0,0,"IDF"
"89","IDFmw1",1.5,0,0,0,0,0,1,0,"IDF"
"90","IDFmw2",1,0,0,0,0,0,0,0,"IDF"
"91","IDFww",1,0,0,0,0,0,0,0,"IDF"
"92","IDFxh1",0,0,0,0,0,0,0,0,"IDF"
"93","IDFxh2",0,0,0,0,0,0,0,0,"IDF"
"94","IDFxh4",0,0,0,0,0,1.5,0,0,"IDF"
"95","IDFxm",0,0,0,0,0,0,0,0,"IDF"
"96","IDFxw",0,0,0,0,0,0,0,0,"IDF"
"97","IDFxx2",0,0,0,0,0,0,0,0,"IDF"
"98","MHmm1",1,0,0,0,0,0,-1,0,"MH"
"99","MHmm2",1.5,0,1,0,0,0,0,0,"MH"
"100","MHwh1",1,0,0,0,0,0,-1,0,"MH"
"101","MSdc1",0,0,-1,0,0,0,0,0,"MS"
"102","MSdm1",0,0,-1,0,0,0,0,0,"MS"
"103","MSdm2",0,0,-1,0,0,0,0,0,"MS"
"104","MSxk1",0,0,-1,0,0,0,0,0,"MS"
"105","MSxv",0,0,-1,0,0,0,0,0,"MS"
"106","PPxh1",0,0,0,0,0,0,0,0,"PP"
"107","PPxh2",0,0,0,0,0,0,0,0,"PP"
"108","PPxh3",0,0,0,0,0,0,0,0,"PP"
"109","SBPSdc",0,0,0,0,0,0,0,0,"SBPS"
"110","SBPSmc",0,0,0,0,0,0,0,0,"SBPS"
"111","SBPSmk",0,0,0,0,0,0,0,0,"SBPS"
"112","SBPSxc",0,-1,0,-1,-1,-1,0,0,"SBPS"
"113","SBSdh1",0,1,0,0,0,0,0,0,"SBS"
"114","SBSdk",0,1,0,0,0,0,0,0,"SBS"
"115","SBSdw1",0,1,0,0,0,0,0,0,"SBS"
"116","SBSdw2",0,1,0,0,0,0,0,0,"SBS"
"117","SBSdw3",0,1,0,0,0,0,0,0,"SBS"
"118","SBSmc1",0,0,0,0,0,0,0,0,"SBS"
"119","SBSmc2",0,0,0,0,0,0,0,0,"SBS"
"120","SBSmc3",0,0,0,0,0,0,0,0,"SBS"
"121","SBSmh",1,1.5,0,1,0,1.5,1,0,"SBS"
"122","SBSmk1",0,0,0,0,0,0,0,0,"SBS"
"123","SBSmk2",0,0,0,0,0,0,0,0,"SBS"
"124","SBSmm",0,0,0,0,0,0,0,0,"SBS"
"125","SBSmw",0,0,0,0,0,0,0,0,"SBS"
"126","SBSvk",0,0,0,0,0,0,0,0,"SBS"
"127","SBSwk1",0,0,0,1,0,0,0,0,"SBS"
"128","SBSwk2",0,0,0,1,0,0,0,0,"SBS"
"129","SBSwk3",0,0,1,1,0,0,0,0,"SBS"
