"","BGC","rSMR0","rSMR1","rSMR2","rSMR3","rSMR4","rSMR5","rSMR6","rSMR7"
"1","BSJPap",0.5,1.5,2,3,3.5,4.5,6,8
"2","BSJPku",0.5,1.5,2,3,3.5,4.5,6,8
"3","BSJPpa",0.5,1.5,2,2.5,3.5,4,6,8
"4","BWBScm",1,1.5,2.5,3,3.5,4.5,6,8
"5","BWBSdm",0.5,1.5,2,3,3.5,4.5,6,8
"6","BWBSlb",1,2,2.5,3,4,5,6.5,8
"7","BWBSlf",2,2.5,3,4,4.5,6,7,8
"8","BWBSnm",0.5,1.5,2,3,3.5,4.5,6,8
"9","BWBSpp",0.5,1.5,2,3,3.5,4.5,6,8
"10","BWBSub",1.5,2,3,3.5,4,5.5,6.5,8
"11","BWBSuf",2.5,3,3.5,4.5,5,6,7,8
"12","ESSFab",3,3.5,4.5,5,5.5,6.5,7.5,8
"13","FGdm",0.5,0.5,0.5,1,1.5,3.5,5.5,7.5
"14","FGff",0.5,1,1.5,2.5,3,3.5,5.5,7.5
"15","FGmg",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"16","FGnf",0.5,0.5,1,2,2.5,3.5,5.5,7.5
"17","IMAab",3,3.5,4.5,5,6,6.5,8,8
"18","MSab",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"19","SASbo",1.5,2,3,3.5,4,5.5,6.5,8
"20","SBAPcp",0.5,1,2,2.5,3,4,6,8
"21","SBAPfp",1,1.5,2.5,3,3.5,4.5,6,8
