"","BGC","rSMR0","rSMR1","rSMR2","rSMR3","rSMR4","rSMR5","rSMR6","rSMR7"
"1","BGdhz",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"2","BGdwz",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"3","BGmmx",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"4","BGmmy",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"5","BGmmz",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"6","BGwmz",0.5,0.5,1,1.5,2.5,3.5,5.5,7.5
"7","BGxhy",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"8","BGxhz",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"9","CCHun",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"10","CDFdmz",0.5,0.5,1.5,2,2.5,3.5,5.5,7.5
"11","CDFmm",1,1.5,2.5,3,3.5,4.5,6,8
"12","CDFxmz",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"13","CMAun",2.5,3,3.5,4.5,5,6,7,8
"14","CMAus",0.5,1.5,2,3,3.5,4.5,6,8
"15","CMXdmy",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"16","CMXdmz",0.5,0.5,0.5,1,1.5,3.5,5.5,7.5
"17","CMXwmz",0.5,1,1.5,2.5,3,3.5,5.5,7.5
"18","CRFdhz",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"19","CVGun",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"20","CWFmsz",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"21","CWFwmz",0.5,0.5,1.5,2,3,3.5,5.5,7.5
"22","CWFwsz",0.5,0.5,1.5,2,2.5,3.5,5.5,7.5
"23","CWHdmx",0.5,1.5,2,3,3.5,4.5,6,8
"24","CWHdmz",2,2.5,3,4,4.5,6,7,8
"25","CWHdsz",1,1.5,2.5,3,3.5,4.5,6,8
"26","CWHmhz",1.5,2,3,3.5,4,5.5,6.5,8
"27","CWHmsy",1.5,2,3,3.5,4,5.5,6.5,8
"28","CWHmsz",1.5,2,3,3.5,4,5.5,6.5,8
"29","CWHvhz",2.5,3,3.5,4.5,5,6,7,8
"30","CWHvmy",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"31","CWHvmz",2.5,3,3.5,4.5,5,6,7,8
"32","CWHwhz",2,2.5,3.5,4,4.5,6,7,8
"33","CWHxmy",0.5,1,2,2.5,3,4,6,8
"34","CWHxmz",0.5,1.5,2,3,3.5,4.5,6,8
"35","ESSFcoz",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"36","ESSFcozp",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"37","ESSFdhz",1,2,2.5,3,4,5,6.5,8
"38","ESSFdk",2.5,3,4,4.5,5,6.5,7.5,8
"39","ESSFdkp",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"40","ESSFmwz",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"41","ESSFmwzp",2,2.5,3,4,4.5,6,7,8
"42","ESSFutz",1.5,2,2.5,3.5,4,5,6.5,8
"43","ESSFutzp",1.5,2,3,3.5,4,5.5,6.5,8
"44","ESSFvmz",2,2.5,3.5,4,4.5,6,7,8
"45","ESSFwhz",2,2.5,3,4,4.5,6,7,8
"46","ESSFwmp",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"47","ESSFwmz",2.5,3,3.5,4.5,5,6,7,8
"48","ESSFxcy",1.5,2,2.5,3.5,4,5,6.5,8
"49","ESSFxcyp",2,2.5,3,4,4.5,6,7,8
"50","ESSFxcz",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"51","ESSFxczp",2,2.5,3.5,4,4.5,6,7,8
"52","ESSFxhz",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"53","ESSFxmy",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"54","ESSFxmz",2,2.5,3,4,4.5,6,7,8
"55","ESSFxxz",2,2.5,3.5,4,4.5,6,7,8
"56","ESSFxxzp",2,2.5,3,4,4.5,6,7,8
"57","GBDxxw",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"58","GBDxxx",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"59","GBDxxy",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"60","GOcoz",0.5,0.5,1,1.5,2.5,3.5,5.5,7.5
"61","ICHdhz",0.5,1.5,2,3,3.5,4.5,6,8
"62","ICHdmz",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"63","ICHdwz",1,2,2.5,3,4,5,6.5,8
"64","ICHmwy",1.5,2,2.5,3.5,4,5,6.5,8
"65","ICHmwz",1,2,2.5,3,4,5,6.5,8
"66","ICHxw",0.5,1.5,2,3,3.5,4.5,6,8
"67","IDFcow",0.5,0.5,1,2,2.5,3.5,5.5,7.5
"68","IDFcoz",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"69","IDFdhy",0.5,0.5,1,2,2.5,3.5,5.5,7.5
"70","IDFdky",0.5,1,1.5,2.5,3,3.5,5.5,7.5
"71","IDFdmy",0.5,1,2,2.5,3,4,6,8
"72","IDFdmz",0.5,1,1.5,2.5,3,3.5,5.5,7.5
"73","IDFdxz",0.5,1.5,2,3,3.5,4.5,6,8
"74","IDFutz",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"75","IDFxhy",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"76","IDFxhz",0.5,0.5,1.5,2,2.5,3.5,5.5,7.5
"77","IDFxxy",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"78","IDFxxz",0.5,0.5,1,2,2.5,3.5,5.5,7.5
"79","IDFxyz",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"80","IGFdmz",0.5,1,1.5,2.5,3,3.5,5.5,7.5
"81","IGFmmz",0.5,1,1.5,2.5,3,3.5,5.5,7.5
"82","IGFmwz",0.5,1,1.5,2.5,3,3.5,5.5,7.5
"83","IMAus",2,3,3.5,4,5,6,7,8
"84","IWFdcz",0.5,0.5,1,2,2.5,3.5,5.5,7.5
"85","IWFnvy",0.5,0.5,1,2,2.5,3.5,5.5,7.5
"86","JPWcop",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"87","JPWcow",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"88","JPWgbz",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"89","JPWsrm",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"90","JPWwy",0.5,0.5,0.5,0.5,1,3.5,5.5,7.5
"91","JPWwyp",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"92","MDCHun",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"93","MGPun",0.5,0.5,0.5,0.5,1,3.5,5.5,7.5
"94","MHdmz",2,2.5,3,4,4.5,6,7,8
"95","MHdsz",1.5,2,2.5,3.5,4,5,6.5,8
"96","MHmmz",2.5,3,4,4.5,5,6.5,7.5,8
"97","MHmsz",2,2.5,3.5,4,4.5,6,7,8
"98","MHmszp",2.5,3,3.5,4.5,5,6,7,8
"99","MHRFmmz",0.5,1.5,2,2.5,3.5,4,6,8
"100","MHRFmsz",0.5,0.5,1.5,2,3,3.5,5.5,7.5
"101","MHRFmszp",0.5,0.5,1.5,2,3,3.5,5.5,7.5
"102","MHRFwmz",0.5,1.5,2,2.5,3.5,4,6,8
"103","MScoa",0.5,1.5,2,2.5,3.5,4,6,8
"104","MScow",1,1.5,2.5,3,3.5,4.5,6,8
"105","MSdmz",0.5,1.5,2,3,3.5,4.5,6,8
"106","MSdwz",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"107","MSnvz",0.5,1,1.5,2.5,3,3.5,5.5,7.5
"108","MSutz",0.5,1,2,2.5,3,4,6,8
"109","MSxcy",1,1.5,2.5,3,3.5,4.5,6,8
"110","MSxkz",0.5,1.5,2,3,3.5,4.5,6,8
"111","MSxmz",1,2,2.5,3,4,5,6.5,8
"112","MSxxy",0.5,1.5,2,3,3.5,4.5,6,8
"113","MSxxz",1.5,2,3,3.5,4,5.5,6.5,8
"114","MSSDun",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"115","OWcaz",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"116","PPcoz",0.5,0.5,0.5,0.5,1.5,3.5,5.5,7.5
"117","PPdxz",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"118","PPorz",0.5,0.5,0.5,0.5,1.5,3.5,5.5,7.5
"119","PPpum",0.5,0.5,0.5,0.5,1.5,3.5,5.5,7.5
"120","PPwy",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"121","PPxhz",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"122","PPxxz",0.5,0.5,0.5,0.5,1,3.5,5.5,7.5
"123","PPxyz",0.5,0.5,0.5,0.5,1.5,3.5,5.5,7.5
"124","SGPun",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
"125","WJPjuz",0.5,0.5,0.5,0.5,0.5,3.5,5.5,7.5
