"","BGC","rSMR","Diff"
"1","BGxh1","rSMR0",0.5
"2","BGxh2","rSMR0",0.5
"3","BGxh3","rSMR0",0.5
"4","BGxw1","rSMR0",0.5
"5","BGxw2","rSMR0",0.5
"6","BWBSdk","rSMR0",0
"7","BWBSmk","rSMR0",0
"8","BWBSmw","rSMR0",0.5
"9","BWBSwk1","rSMR0",-0.5
"10","BWBSwk2","rSMR0",0
"11","BWBSwk3","rSMR0",-0.5
"12","CDFmm","rSMR0",0.5
"13","CWHdm","rSMR0",-0.5
"14","CWHds1","rSMR0",0.5
"15","CWHds2","rSMR0",0.5
"16","CWHmm1","rSMR0",0.5
"17","CWHmm2","rSMR0",0.5
"18","CWHms1","rSMR0",0
"19","CWHms2","rSMR0",-0.5
"20","CWHvh1","rSMR0",1
"21","CWHvh2","rSMR0",1
"22","CWHvm1","rSMR0",0
"23","CWHvm2","rSMR0",0
"24","CWHwh1","rSMR0",1
"25","CWHwh2","rSMR0",1
"26","CWHwm","rSMR0",1.5
"27","CWHws1","rSMR0",0
"28","CWHws2","rSMR0",-0.5
"29","CWHxm1","rSMR0",0.5
"30","ESSFdc1","rSMR0",-0.5
"31","ESSFdc2","rSMR0",0
"32","ESSFdk1","rSMR0",0
"33","ESSFdk2","rSMR0",-0.5
"34","ESSFdv1","rSMR0",0
"35","ESSFmc","rSMR0",-0.5
"36","ESSFmk","rSMR0",0
"37","ESSFmm1","rSMR0",0
"38","ESSFmv1","rSMR0",0.5
"39","ESSFmv2","rSMR0",-0.5
"40","ESSFmv3","rSMR0",0
"41","ESSFmv4","rSMR0",-0.5
"42","ESSFmw","rSMR0",0
"43","ESSFmw1","rSMR0",0
"44","ESSFmw2","rSMR0",0
"45","ESSFvc","rSMR0",0
"46","ESSFwc2","rSMR0",0
"47","ESSFwc3","rSMR0",0
"48","ESSFwc4","rSMR0",0
"49","ESSFwh1","rSMR0",0.5
"50","ESSFwh3","rSMR0",0.5
"51","ESSFwk1","rSMR0",0
"52","ESSFwk2","rSMR0",0
"53","ESSFwm1","rSMR0",0.5
